time,value
0.5,46.6
1.0,54.0
1.5,66.6
2.0,0.0
2.5,5.79
3.0,17.4
3.5,8.69
4.0,2.9
4.5,23.2
5.0,11.6
5.5,11.6
6.0,8.69
6.5,11.6
7.0,8.69
7.5,11.6
8.0,5.79
8.5,8.69
9.0,11.6
9.5,8.69
10.0,11.6
10.5,8.69
11.0,11.6
11.5,8.69
12.0,5.79
12.5,8.69
13.0,11.6
13.5,11.6
14.0,8.69
14.5,11.6
15.0,5.79
15.5,8.69
16.0,11.6
16.5,11.6
17.0,8.69
17.5,5.79
18.0,8.69
18.5,11.6
19.0,11.6
19.5,8.69
20.0,11.6
20.5,8.69
21.0,5.79
21.5,11.6
22.0,8.69
22.5,11.6
23.0,8.69
23.5,5.79
24.0,11.6
24.5,11.6
25.0,8.69
25.5,11.6
26.0,8.69
26.5,11.6
27.0,5.79
27.5,8.69
28.0,11.6
28.5,8.69
29.0,11.6
29.5,8.69
30.0,2.9
30.5,20.3
31.0,5.79
31.5,8.69
32.0,11.6
32.5,8.69
33.0,11.6
33.5,8.69
34.0,5.79
34.5,11.6
35.0,8.69
35.5,11.6
36.0,8.69
36.5,11.6
37.0,8.69
37.5,5.79
38.0,11.6
38.5,8.69
39.0,11.6
39.5,8.69
40.0,11.6
40.5,11.6
41.0,2.9
41.5,11.6
42.0,8.69
42.5,11.6
43.0,11.6
43.5,8.69
44.0,11.6
44.5,2.9
45.0,11.6
45.5,8.69
46.0,11.6
46.5,8.69
47.0,11.6
47.5,8.69
48.0,5.79
48.5,11.6
49.0,8.69
49.5,11.6
50.0,8.69
50.5,11.6
51.0,8.69
51.5,5.79
52.0,11.6
52.5,5.79
53.0,17.4
53.5,8.69
54.0,11.6
54.5,8.69
55.0,5.79
55.5,11.6
56.0,8.69
56.5,8.69
57.0,11.6
57.5,11.6
58.0,8.69
58.5,5.79
59.0,8.69
59.5,11.6
60.0,11.6
60.5,8.69
61.0,11.6
61.5,8.69
62.0,5.79
62.5,8.69
63.0,11.6
63.5,11.6
64.0,8.69
64.5,11.6
65.0,8.69
65.5,5.79
66.0,11.6
66.5,8.69
67.0,11.6
67.5,8.69
68.0,11.6
68.5,5.79
69.0,8.69
69.5,11.6
70.0,8.69
70.5,11.6
71.0,8.69
71.5,5.79
72.0,8.69
72.5,11.6
73.0,8.69
73.5,11.6
74.0,2.9
74.5,17.4
75.0,11.6
75.5,5.79
76.0,8.69
76.5,11.6
77.0,8.69
77.5,11.6
78.0,8.69
78.5,11.6
79.0,8.69
79.5,5.79
80.0,8.69
80.5,11.6
81.0,11.6
81.5,8.69
82.0,11.6
82.5,5.79
83.0,8.69
83.5,11.6
84.0,8.69
84.5,11.6
85.0,8.69
85.5,5.79
86.0,11.6
86.5,8.69
87.0,11.6
87.5,8.69
88.0,11.6
88.5,8.69
89.0,5.79
89.5,8.69
90.0,11.6
90.5,8.69
91.0,11.6
91.5,8.69
92.0,11.6
92.5,8.69
93.0,5.79
93.5,11.6
94.0,8.69
94.5,11.6
95.0,8.69
95.5,5.79
96.0,17.4
96.5,5.79
97.0,11.6
97.5,8.69
98.0,11.6
98.5,8.69
99.0,11.6
99.5,5.79
100.0,8.69
100.5,11.6
101.0,8.69
101.5,11.6
102.0,8.69
102.5,11.6
103.0,5.79
103.5,8.69
104.0,11.6
104.5,8.69
105.0,11.6
105.5,8.69
106.0,11.6
106.5,5.79
107.0,8.69
107.5,11.6
108.0,8.69
108.5,11.6
109.0,8.69
109.5,11.6
110.0,5.79
110.5,8.69
111.0,11.6
111.5,8.69
112.0,11.6
112.5,8.69
113.0,11.6
113.5,5.79
114.0,8.69
114.5,11.6
115.0,8.69
115.5,11.6
116.0,8.69
116.5,5.79
117.0,11.6
117.5,2.9
118.0,20.3
118.5,8.69
119.0,11.6
119.5,8.69
120.0,5.79
120.5,8.69
121.0,11.6
121.5,11.6
122.0,8.69
122.5,11.6
123.0,5.79
123.5,8.69
124.0,11.6
124.5,11.6
125.0,8.69
125.5,5.79
126.0,11.6
126.5,8.69
127.0,11.6
127.5,8.69
128.0,11.6
128.5,8.69
129.0,11.6
129.5,5.79
130.0,8.69
130.5,11.6
131.0,8.69
131.5,11.6
132.0,8.69
132.5,5.79
133.0,11.6
133.5,8.69
134.0,11.6
134.5,11.6
135.0,8.69
135.5,5.79
136.0,11.6
136.5,8.69
137.0,11.6
137.5,8.69
138.0,11.6
138.5,8.69
139.0,2.9
139.5,14.5
140.0,11.6
140.5,11.6
141.0,8.69
141.5,11.6
142.0,2.9
142.5,11.6
143.0,8.69
143.5,11.6
144.0,8.69
144.5,11.6
145.0,11.6
145.5,2.9
146.0,11.6
146.5,11.6
147.0,8.69
147.5,11.6
148.0,8.69
148.5,5.79
149.0,8.69
149.5,11.6
150.0,8.69
150.5,11.6
151.0,8.69
151.5,11.6
152.0,5.79
152.5,8.69
153.0,11.6
153.5,8.69
154.0,11.6
154.5,8.69
155.0,11.6
155.5,8.69
156.0,5.79
156.5,11.6
157.0,8.69
157.5,11.6
158.0,8.69
158.5,11.6
159.0,8.69
159.5,11.6
160.0,5.79
160.5,8.69
161.0,11.6
161.5,2.9
162.0,17.4
162.5,11.6
163.0,8.69
163.5,5.79
164.0,8.69
164.5,11.6
165.0,8.69
165.5,11.6
166.0,8.69
166.5,11.6
