------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 203764
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35050 connected with 10.0.2.22 port 5001 (ct=42.56 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  1.12 MBytes  52.4 Mbits/sec  9/0          0       65K/28417 us  230.62
[  3] 0.1800-0.3600 sec  1.22 MBytes  56.8 Mbits/sec  11/0          0      255K/96561 us  73.59
[  3] 0.3600-0.5400 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0      480K/192426 us  45.15
[  3] 0.5400-0.7200 sec   764 KBytes  34.8 Mbits/sec  6/1          0      709K/289258 us  15.02
[  3] 0.7200-0.9000 sec  0.00 Bytes  0.00 bits/sec  0/1        167      238K/301594 us  0.00
[  3] 0.9000-1.0800 sec  0.00 Bytes  0.00 bits/sec  0/2         70      222K/302046 us  0.00
[  3] 1.0800-1.2600 sec   255 KBytes  11.6 Mbits/sec  3/0         80      287K/181192 us  7.99
[  3] 1.2600-1.4400 sec   509 KBytes  23.2 Mbits/sec  4/1         90      164K/143051 us  20.24
[  3] 1.4400-1.6200 sec  63.6 KBytes  2.90 Mbits/sec  1/1         12      147K/125846 us  2.88
[  3] 1.6200-1.8000 sec   573 KBytes  26.1 Mbits/sec  5/0          1      148K/124779 us  26.11
[  3] 1.8000-1.9800 sec   127 KBytes  5.79 Mbits/sec  1/0         23       89K/119224 us  6.07
[  3] 1.9800-2.1600 sec   318 KBytes  14.5 Mbits/sec  3/0          0       89K/76404 us  23.69
[  3] 2.1600-2.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       93K/78401 us  13.85
[  3] 2.3400-2.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       96K/81502 us  17.77
[  3] 2.5200-2.7000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      100K/83942 us  17.25
[  3] 2.7000-2.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      103K/87203 us  12.45
[  3] 2.8800-3.0600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      106K/89582 us  16.16
[  3] 3.0600-3.2400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      108K/92115 us  3.93
[  3] 3.2400-3.4200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      110K/93383 us  15.51
[  3] 3.4200-3.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      113K/95624 us  15.14
[  3] 3.6000-3.7800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      115K/97486 us  11.14
[  3] 3.7800-3.9600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      118K/104994 us  10.34
[  3] 3.9600-4.1400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      121K/102131 us  14.18
[  3] 4.1400-4.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      124K/104128 us  13.91
[  3] 4.3200-4.5000 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      125K/106455 us  3.40
[  3] 4.5000-4.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      127K/107545 us  13.46
[  3] 4.6800-4.8600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      130K/110018 us  9.87
[  3] 4.8600-5.0400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      132K/111862 us  12.94
[  3] 5.0400-5.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      135K/113735 us  12.73
