1651141262.741168, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50351024 lastrcv:50351024 lastack:50351024 unacked:1 rcv_ssthresh:42340
1651141263.335144, 	 reno wscale:8,9 rto:452 rtt:251.697/14.58 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:439 bytes_sent:1255416 bytes_acked:621193 segs_out:869 segs_in:158 data_segs_out:867 send 20.2Mbps lastsnd:4 lastrcv:556 lastack:4 pacing_rate 40.4Mbps delivery_rate 9.6Mbps delivered:430 busy:552ms unacked:438 rcv_space:14480 rcv_ssthresh:42242 notsent:2767128 minrtt:20.698
1651141263.394956, 	 reno wscale:8,9 rto:488 rtt:287.648/14.212 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:499 bytes_sent:1430624 bytes_acked:708073 segs_out:990 segs_in:178 data_segs_out:988 send 20.1Mbps lastrcv:628 lastack:4 pacing_rate 40.2Mbps delivery_rate 9.6Mbps delivered:490 busy:624ms unacked:499 rcv_space:14480 rcv_ssthresh:42242 notsent:3373840 minrtt:20.698
1651141263.462947, 	 reno wscale:8,9 rto:504 rtt:300.357/1.931 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:436 ssthresh:253 bytes_sent:1482752 bytes_retrans:31856 bytes_acked:718209 segs_out:1026 segs_in:196 data_segs_out:1024 send 16.8Mbps lastrcv:688 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:541 busy:684ms unacked:506 retrans:22/22 lost:48 sacked:44 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.525243, 	 reno wscale:8,9 rto:504 rtt:300.982/0.981 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:396 ssthresh:253 bytes_sent:1503024 bytes_retrans:52128 bytes_acked:718209 segs_out:1040 segs_in:205 data_segs_out:1038 send 15.2Mbps lastrcv:720 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:568 busy:716ms unacked:506 retrans:36/36 lost:75 sacked:71 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.549742, 	 reno wscale:8,9 rto:504 rtt:301.135/0.363 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:368 ssthresh:253 bytes_sent:1516056 bytes_retrans:65160 bytes_acked:718209 segs_out:1049 segs_in:211 data_segs_out:1047 send 14.2Mbps lastsnd:4 lastrcv:744 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:586 busy:740ms unacked:506 retrans:45/45 lost:94 sacked:89 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.573460, 	 reno wscale:8,9 rto:504 rtt:300.906/0.251 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:337 ssthresh:253 bytes_sent:1530536 bytes_retrans:79640 bytes_acked:718209 segs_out:1059 segs_in:218 data_segs_out:1057 send 13.0Mbps lastrcv:768 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:606 busy:764ms unacked:506 retrans:55/55 lost:115 sacked:109 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.597046, 	 reno wscale:8,9 rto:504 rtt:300.359/0.302 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:310 ssthresh:253 bytes_sent:1543568 bytes_retrans:92672 bytes_acked:718209 segs_out:1068 segs_in:224 data_segs_out:1066 send 12.0Mbps lastsnd:4 lastrcv:792 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:624 busy:788ms unacked:506 retrans:64/64 lost:133 sacked:127 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.618744, 	 reno wscale:8,9 rto:504 rtt:300.135/0.204 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:278 ssthresh:253 bytes_sent:1558048 bytes_retrans:107152 bytes_acked:718209 segs_out:1078 segs_in:231 data_segs_out:1076 send 10.7Mbps lastsnd:4 lastrcv:816 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:645 busy:812ms unacked:506 retrans:74/74 lost:154 sacked:148 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.645835, 	 reno wscale:8,9 rto:504 rtt:300.301/0.311 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:245 ssthresh:253 bytes_sent:1579768 bytes_retrans:128872 bytes_acked:718209 segs_out:1093 segs_in:239 data_segs_out:1091 send 9.5Mbps lastrcv:844 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:669 busy:840ms unacked:506 retrans:89/89 lost:178 sacked:172 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.674954, 	 reno wscale:8,9 rto:504 rtt:300.453/0.434 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:221 ssthresh:253 bytes_sent:1614520 bytes_retrans:163624 bytes_acked:718209 segs_out:1117 segs_in:247 data_segs_out:1115 send 8.5Mbps lastrcv:872 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:693 busy:868ms unacked:506 retrans:113/113 lost:202 sacked:196 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.703638, 	 reno wscale:8,9 rto:504 rtt:300.374/0.215 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:197 ssthresh:253 bytes_sent:1649272 bytes_retrans:198376 bytes_acked:718209 segs_out:1141 segs_in:255 data_segs_out:1139 send 7.6Mbps lastsnd:4 lastrcv:904 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:717 busy:900ms unacked:506 retrans:137/137 lost:226 sacked:220 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.733776, 	 reno wscale:8,9 rto:504 rtt:300.901/1.299 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:176 ssthresh:253 bytes_sent:1684024 bytes_retrans:233128 bytes_acked:718209 segs_out:1165 segs_in:263 data_segs_out:1163 send 6.8Mbps lastsnd:4 lastrcv:932 lastack:4 pacing_rate 23.4Mbps delivery_rate 9.6Mbps delivered:741 busy:928ms unacked:506 retrans:161/161 lost:247 sacked:244 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.762063, 	 reno wscale:8,9 rto:504 rtt:302.046/2.36 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:167 ssthresh:253 bytes_sent:1723120 bytes_retrans:272224 bytes_acked:718209 segs_out:1192 segs_in:279 data_segs_out:1190 send 6.4Mbps lastrcv:964 pacing_rate 23.3Mbps delivery_rate 8.8Mbps delivered:768 busy:960ms unacked:506 retrans:167/188 lost:235 sacked:271 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.794913, 	 reno wscale:8,9 rto:504 rtt:302.046/2.36 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:167 ssthresh:253 bytes_sent:1766560 bytes_retrans:315664 bytes_acked:718209 segs_out:1222 segs_in:299 data_segs_out:1220 send 6.4Mbps lastrcv:1000 pacing_rate 23.3Mbps delivery_rate 7.7Mbps delivered:798 busy:996ms unacked:506 retrans:167/218 lost:205 sacked:301 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.831680, 	 reno wscale:8,9 rto:504 rtt:302.046/2.36 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:151 ssthresh:253 bytes_sent:1810000 bytes_retrans:359104 bytes_acked:718209 segs_out:1252 segs_in:325 data_segs_out:1250 send 5.8Mbps lastrcv:1036 pacing_rate 23.3Mbps delivery_rate 5.8Mbps delivered:828 busy:1032ms unacked:506 retrans:151/248 lost:175 sacked:331 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.866549, 	 reno wscale:8,9 rto:504 rtt:302.046/2.36 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:138 ssthresh:253 bytes_sent:1847648 bytes_retrans:396752 bytes_acked:718209 segs_out:1278 segs_in:338 data_segs_out:1276 send 5.3Mbps lastrcv:1068 pacing_rate 23.3Mbps delivery_rate 5.3Mbps delivered:854 busy:1064ms unacked:506 retrans:138/274 lost:149 sacked:357 rcv_space:14480 rcv_ssthresh:42242 notsent:3353568 minrtt:20.698
1651141263.900361, 	 reno wscale:8,9 rto:472 rtt:268.176/10.54 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:215 ssthresh:253 bytes_sent:2012720 bytes_retrans:424264 bytes_acked:868801 segs_out:1392 segs_in:356 data_segs_out:1390 send 9.3Mbps lastrcv:1104 pacing_rate 25.7Mbps delivery_rate 5.0Mbps delivered:883 busy:1100ms unacked:497 retrans:120/293 lost:120 sacked:282 rcv_space:14480 rcv_ssthresh:42242 notsent:3216008 minrtt:20.698
1651141263.937445, 	 reno wscale:8,9 rto:472 rtt:268.176/10.54 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:213 ssthresh:253 bytes_sent:2057608 bytes_retrans:427160 bytes_acked:868801 segs_out:1423 segs_in:378 data_segs_out:1421 send 9.2Mbps lastrcv:1140 pacing_rate 27.2Mbps delivery_rate 5.8Mbps delivered:914 busy:1136ms unacked:526 retrans:89/295 lost:89 sacked:313 rcv_space:14480 rcv_ssthresh:42242 notsent:3239176 minrtt:20.698
1651141263.971842, 	 reno wscale:8,9 rto:388 rtt:184.791/25.206 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:223 ssthresh:253 bytes_sent:2116976 bytes_retrans:427160 bytes_acked:955681 segs_out:1464 segs_in:405 data_segs_out:1462 send 14.0Mbps lastrcv:1180 pacing_rate 38.0Mbps delivery_rate 7.5Mbps delivered:945 busy:1176ms unacked:507 retrans:58/295 lost:58 sacked:284 rcv_space:14480 rcv_ssthresh:42242 notsent:3179808 minrtt:20.698
1651141264.011469, 	 reno wscale:8,9 rto:384 rtt:181.192/25.318 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:202 ssthresh:253 bytes_sent:2161864 bytes_retrans:459016 bytes_acked:957129 segs_out:1495 segs_in:434 data_segs_out:1493 send 12.9Mbps lastrcv:1216 pacing_rate 39.4Mbps delivery_rate 7.7Mbps delivered:975 busy:1212ms unacked:515 retrans:28/317 lost:28 sacked:313 rcv_space:14480 rcv_ssthresh:42242 notsent:3362256 minrtt:20.698
1651141264.047546, 	 reno wscale:8,9 rto:340 rtt:137.487/9.186 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:120 ssthresh:253 bytes_sent:2205304 bytes_retrans:479288 bytes_acked:957129 segs_out:1525 segs_in:454 data_segs_out:1523 send 10.1Mbps lastrcv:1252 lastack:4 pacing_rate 89.5Mbps delivery_rate 8.1Mbps delivered:1005 busy:1248ms unacked:531 retrans:36/331 lost:104 sacked:343 rcv_space:14480 rcv_ssthresh:42242 notsent:3339088 minrtt:20.698
1651141264.082620, 	 reno wscale:8,9 rto:332 rtt:131.134/0.99 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:119 ssthresh:253 bytes_sent:2251640 bytes_retrans:525624 bytes_acked:957129 segs_out:1557 segs_in:477 data_segs_out:1555 send 10.5Mbps lastrcv:1292 pacing_rate 93.8Mbps delivery_rate 8.1Mbps delivered:1037 busy:1288ms unacked:531 retrans:68/363 lost:105 sacked:375 rcv_space:14480 rcv_ssthresh:42242 notsent:3339088 minrtt:20.698
1651141264.121852, 	 reno wscale:8,9 rto:344 rtt:140.457/3.811 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:120 ssthresh:253 bytes_sent:2300872 bytes_retrans:574856 bytes_acked:960025 segs_out:1591 segs_in:498 data_segs_out:1589 send 9.9Mbps lastrcv:1332 pacing_rate 87.3Mbps delivery_rate 9.0Mbps delivered:1070 busy:1328ms unacked:529 retrans:101/397 lost:104 sacked:406 rcv_space:14480 rcv_ssthresh:42242 notsent:3339088 minrtt:20.698
1651141264.165539, 	 reno wscale:8,9 rto:344 rtt:142.916/0.627 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:121 ssthresh:253 bytes_sent:2368928 bytes_retrans:580648 bytes_acked:1209081 segs_out:1638 segs_in:535 data_segs_out:1636 send 9.8Mbps lastrcv:1384 pacing_rate 64.7Mbps delivery_rate 9.5Mbps delivered:1115 busy:1380ms unacked:400 retrans:78/401 lost:78 sacked:279 rcv_space:14480 rcv_ssthresh:42242 notsent:3276824 minrtt:20.698
1651141264.221988, 	 reno wscale:8,9 rto:344 rtt:143.051/0.741 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:111 ssthresh:253 bytes_sent:2432640 bytes_retrans:596576 bytes_acked:1437865 segs_out:1682 segs_in:573 data_segs_out:1680 send 9.0Mbps lastrcv:1436 pacing_rate 44.2Mbps delivery_rate 9.1Mbps delivered:1158 busy:1432ms unacked:275 retrans:35/412 lost:35 sacked:164 rcv_space:14480 rcv_ssthresh:42242 notsent:3750320 minrtt:20.698
1651141264.269607, 	 reno wscale:8,9 rto:332 rtt:129.325/2.206 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:104 ssthresh:253 bytes_sent:2496352 bytes_retrans:606712 bytes_acked:1437865 segs_out:1726 segs_in:612 data_segs_out:1724 send 9.3Mbps lastsnd:4 lastrcv:1492 lastack:4 pacing_rate 55.7Mbps delivery_rate 8.3Mbps delivered:1202 busy:1488ms unacked:312 retrans:18/419 lost:18 sacked:208 rcv_space:14480 rcv_ssthresh:42242 notsent:3696744 minrtt:20.698
1651141264.324553, 	 reno wscale:8,9 rto:328 rtt:125.933/0.186 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:104 ssthresh:253 bytes_sent:2562960 bytes_retrans:606712 bytes_acked:1437865 segs_out:1772 segs_in:648 data_segs_out:1770 send 9.6Mbps lastrcv:1548 pacing_rate 65.7Mbps delivery_rate 8.9Mbps delivered:1248 busy:1544ms unacked:358 retrans:12/419 lost:12 sacked:254 rcv_space:14480 rcv_ssthresh:42242 notsent:3630136 minrtt:20.698
1651141264.382581, 	 reno wscale:8,9 rto:328 rtt:125.951/0.235 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:104 ssthresh:253 bytes_sent:2628120 bytes_retrans:606712 bytes_acked:1437865 segs_out:1817 segs_in:687 data_segs_out:1815 send 9.6Mbps lastrcv:1600 pacing_rate 73.9Mbps delivery_rate 9.2Mbps delivered:1293 busy:1596ms unacked:403 retrans:5/419 lost:5 sacked:299 rcv_space:14480 rcv_ssthresh:42242 notsent:3630136 minrtt:20.698
1651141264.435589, 	 reno wscale:8,9 rto:328 rtt:124.761/0.266 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 ssthresh:126 bytes_sent:2697624 bytes_retrans:608160 bytes_acked:1888193 segs_out:1865 segs_in:724 data_segs_out:1863 send 9.7Mbps lastrcv:1656 pacing_rate 15.4Mbps delivery_rate 9.5Mbps delivered:1339 busy:1652ms unacked:139 retrans:1/420 lost:1 sacked:34 rcv_space:14480 rcv_ssthresh:42242 notsent:3562080 minrtt:20.698
1651141264.494831, 	 reno wscale:8,9 rto:328 rtt:124.632/0.172 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 ssthresh:126 bytes_sent:2735272 bytes_retrans:608160 bytes_acked:1888193 segs_out:1891 segs_in:747 data_segs_out:1889 send 9.8Mbps lastsnd:4 lastrcv:1688 lastack:4 pacing_rate 18.2Mbps delivery_rate 9.5Mbps delivered:1365 busy:1684ms unacked:165 retrans:1/420 lost:1 sacked:60 rcv_space:14480 rcv_ssthresh:42242 notsent:3524432 minrtt:20.698
1651141264.515221, 	 reno wscale:8,9 rto:328 rtt:124.779/0.296 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 ssthresh:126 bytes_sent:2758440 bytes_retrans:608160 bytes_acked:1888193 segs_out:1907 segs_in:760 data_segs_out:1905 send 9.7Mbps lastsnd:4 lastrcv:1708 lastack:4 pacing_rate 19.9Mbps delivery_rate 9.5Mbps delivered:1381 busy:1704ms unacked:181 retrans:1/420 lost:1 sacked:76 rcv_space:14480 rcv_ssthresh:42242 notsent:3892224 minrtt:20.698
1651141264.536829, 	 reno wscale:8,9 rto:328 rtt:124.64/0.149 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:105 ssthresh:126 bytes_sent:2791744 bytes_retrans:608160 bytes_acked:1888193 segs_out:1930 segs_in:782 data_segs_out:1928 send 9.8Mbps lastrcv:1736 pacing_rate 22.6Mbps delivery_rate 9.5Mbps delivered:1404 busy:1732ms unacked:204 retrans:1/420 lost:1 sacked:99 rcv_space:14480 rcv_ssthresh:42242 notsent:3858920 minrtt:20.698
1651141264.565861, 	 reno wscale:8,9 rto:328 rtt:127.255/0.238 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:126 ssthresh:126 bytes_sent:2891656 bytes_retrans:608160 bytes_acked:2102497 segs_out:1999 segs_in:819 data_segs_out:1997 send 11.5Mbps lastsnd:4 lastrcv:1796 pacing_rate 13.8Mbps delivery_rate 9.6Mbps delivered:1453 busy:1792ms unacked:125 retrans:0/420 rcv_space:14480 rcv_ssthresh:42242 notsent:3954488 minrtt:20.698
1651141264.631064, 	 reno wscale:8,9 rto:328 rtt:127.072/0.318 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:126 ssthresh:126 bytes_sent:2964056 bytes_retrans:608160 bytes_acked:2173449 segs_out:2049 segs_in:863 data_segs_out:2047 send 11.5Mbps lastrcv:1856 pacing_rate 13.8Mbps delivery_rate 9.5Mbps delivered:1502 busy:1852ms unacked:126 retrans:0/420 rcv_space:14480 rcv_ssthresh:42242 notsent:3882088 minrtt:20.698
1651141264.692750, 	 reno wscale:8,9 rto:328 rtt:124.275/0.288 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:82 ssthresh:63 bytes_sent:3007496 bytes_retrans:638568 bytes_acked:2185033 segs_out:2079 segs_in:898 data_segs_out:2077 send 7.6Mbps lastrcv:1916 pacing_rate 14.2Mbps delivery_rate 9.4Mbps delivered:1553 busy:1912ms unacked:127 retrans:21/441 lost:23 sacked:43 rcv_space:14480 rcv_ssthresh:42242 notsent:3999376 minrtt:20.698
1651141264.750612, 	 reno wscale:8,9 rto:328 rtt:124.444/0.541 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:63 ssthresh:63 bytes_sent:3055280 bytes_retrans:641464 bytes_acked:2185033 segs_out:2112 segs_in:935 data_segs_out:2110 send 5.9Mbps lastsnd:4 lastrcv:1980 lastack:4 pacing_rate 17.4Mbps delivery_rate 9.4Mbps delivered:1605 busy:1976ms unacked:158 retrans:23/443 lost:23 sacked:95 rcv_space:14480 rcv_ssthresh:42242 notsent:3954488 minrtt:20.698
1651141264.815220, 	 reno wscale:8,9 rto:284 rtt:83.513/6.481 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:63 ssthresh:63 bytes_sent:3129128 bytes_retrans:641464 bytes_acked:2396441 segs_out:2163 segs_in:982 data_segs_out:2161 send 8.7Mbps lastrcv:2040 pacing_rate 10.5Mbps delivery_rate 5.8Mbps delivered:1656 busy:2036ms unacked:63 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:3945800 minrtt:20.698
1651141264.879761, 	 reno wscale:8,9 rto:276 rtt:75.583/0.316 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:64 ssthresh:63 bytes_sent:3211664 bytes_retrans:641464 bytes_acked:2477529 segs_out:2220 segs_in:1027 data_segs_out:2218 send 9.8Mbps lastrcv:2108 pacing_rate 11.8Mbps delivery_rate 8.9Mbps delivered:1712 busy:2104ms unacked:64 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4123904 minrtt:20.698
1651141264.945968, 	 reno wscale:8,9 rto:280 rtt:76.348/0.841 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:65 ssthresh:63 bytes_sent:3298544 bytes_retrans:641464 bytes_acked:2562961 segs_out:2280 segs_in:1066 data_segs_out:2278 send 9.9Mbps lastrcv:2180 pacing_rate 11.8Mbps delivery_rate 9.6Mbps delivered:1771 busy:2176ms unacked:65 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4167344 minrtt:20.698
1651141265.013935, 	 reno wscale:8,9 rto:280 rtt:76.705/0.484 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:65 ssthresh:63 bytes_sent:3344880 bytes_retrans:641464 bytes_acked:2609297 segs_out:2312 segs_in:1086 data_segs_out:2310 send 9.8Mbps lastrcv:2216 pacing_rate 11.8Mbps delivery_rate 9.6Mbps delivered:1803 busy:2212ms unacked:65 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4121008 minrtt:20.698
1651141265.046819, 	 reno wscale:8,9 rto:280 rtt:76.587/0.312 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:65 ssthresh:63 bytes_sent:3375288 bytes_retrans:641464 bytes_acked:2639705 segs_out:2333 segs_in:1099 data_segs_out:2331 send 9.8Mbps lastrcv:2244 pacing_rate 11.8Mbps delivery_rate 9.6Mbps delivered:1824 busy:2240ms unacked:65 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4090600 minrtt:20.698
1651141265.073049, 	 reno wscale:8,9 rto:280 rtt:77.72/0.693 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:66 ssthresh:63 bytes_sent:3408592 bytes_retrans:641464 bytes_acked:2671561 segs_out:2356 segs_in:1112 data_segs_out:2354 send 9.8Mbps lastsnd:4 lastrcv:2272 lastack:4 pacing_rate 11.8Mbps delivery_rate 9.6Mbps delivered:1846 busy:2268ms unacked:66 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4057296 minrtt:20.698
1651141265.099706, 	 reno wscale:8,9 rto:280 rtt:78.513/0.574 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:66 ssthresh:63 bytes_sent:3443344 bytes_retrans:641464 bytes_acked:2706313 segs_out:2380 segs_in:1126 data_segs_out:2378 send 9.7Mbps lastrcv:2300 pacing_rate 11.7Mbps delivery_rate 9.5Mbps delivered:1870 busy:2296ms unacked:66 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4087704 minrtt:20.698
1651141265.128586, 	 reno wscale:8,9 rto:280 rtt:79.085/0.592 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:67 ssthresh:63 bytes_sent:3478096 bytes_retrans:641464 bytes_acked:2741065 segs_out:2404 segs_in:1141 data_segs_out:2402 send 9.8Mbps lastrcv:2328 pacing_rate 11.8Mbps delivery_rate 9.6Mbps delivered:1894 busy:2324ms unacked:66 retrans:0/443 rcv_space:14480 rcv_ssthresh:42242 notsent:4052952 minrtt:20.698
