1651141262.741168, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50351024 lastrcv:50351024 lastack:50351024 unacked:1 rcv_ssthresh:42340
1651141262.800917, 	 reno wscale:8,9 rto:244 rtt:42.198/21.099 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.7Mbps lastsnd:16 lastrcv:20 lastack:20 pacing_rate 5.5Mbps delivered:1 busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:42.198
1651141262.855186, 	 reno wscale:8,9 rto:232 rtt:30.567/3.199 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:58 bytes_sent:152040 bytes_acked:69505 segs_out:107 segs_in:25 data_segs_out:105 send 22.0Mbps lastrcv:88 pacing_rate 44.0Mbps delivery_rate 9.6Mbps delivered:49 busy:84ms unacked:57 rcv_space:14480 rcv_ssthresh:42242 notsent:286704 minrtt:20.698
1651141262.927968, 	 reno wscale:8,9 rto:264 rtt:60.399/11.894 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:112 bytes_sent:308424 bytes_acked:147697 segs_out:215 segs_in:48 data_segs_out:213 send 21.5Mbps lastrcv:156 pacing_rate 43.0Mbps delivery_rate 8.9Mbps delivered:103 busy:152ms unacked:111 rcv_space:14480 rcv_ssthresh:42242 notsent:781920 minrtt:20.698
1651141262.991868, 	 reno wscale:8,9 rto:284 rtt:81.77/10.627 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:155 bytes_sent:434400 bytes_acked:209961 segs_out:302 segs_in:63 data_segs_out:300 send 22.0Mbps lastsnd:4 lastrcv:212 lastack:4 pacing_rate 43.9Mbps delivery_rate 9.7Mbps delivered:146 busy:208ms unacked:155 rcv_space:14480 rcv_ssthresh:42242 notsent:655944 minrtt:20.698
1651141263.047014, 	 reno wscale:8,9 rto:304 rtt:103.379/13.719 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:193 bytes_sent:543000 bytes_acked:264985 segs_out:377 segs_in:76 data_segs_out:375 send 21.6Mbps lastrcv:256 pacing_rate 43.3Mbps delivery_rate 9.6Mbps delivered:184 busy:252ms unacked:192 rcv_space:14480 rcv_ssthresh:42242 notsent:1198944 minrtt:20.698
1651141263.092520, 	 reno wscale:8,9 rto:328 rtt:126.206/14.029 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:232 bytes_sent:655944 bytes_acked:321457 segs_out:455 segs_in:89 data_segs_out:453 send 21.3Mbps lastrcv:304 pacing_rate 42.6Mbps delivery_rate 9.6Mbps delivered:223 busy:300ms unacked:231 rcv_space:14480 rcv_ssthresh:42242 notsent:1086000 minrtt:20.698
1651141263.140489, 	 reno wscale:8,9 rto:352 rtt:150.268/14.735 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:271 bytes_sent:768888 bytes_acked:377929 segs_out:533 segs_in:102 data_segs_out:531 send 20.9Mbps lastsnd:4 lastrcv:352 lastack:4 pacing_rate 41.8Mbps delivery_rate 9.6Mbps delivered:262 busy:348ms unacked:270 rcv_space:14480 rcv_ssthresh:42242 notsent:1689816 minrtt:20.698
1651141263.184949, 	 reno wscale:8,9 rto:376 rtt:175.944/14.65 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:313 bytes_sent:890520 bytes_acked:438745 segs_out:617 segs_in:116 data_segs_out:615 send 20.6Mbps lastrcv:400 pacing_rate 41.2Mbps delivery_rate 9.6Mbps delivered:304 busy:396ms unacked:312 rcv_space:14480 rcv_ssthresh:42242 notsent:1568184 minrtt:20.698
1651141263.233293, 	 reno wscale:8,9 rto:400 rtt:199.603/14.491 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:352 bytes_sent:1004912 bytes_acked:495217 segs_out:696 segs_in:129 data_segs_out:694 send 20.4Mbps lastrcv:448 pacing_rate 40.9Mbps delivery_rate 9.6Mbps delivered:343 busy:444ms unacked:352 rcv_space:14480 rcv_ssthresh:42242 notsent:2235712 minrtt:20.698
1651141263.285624, 	 reno wscale:8,9 rto:428 rtt:226.543/14.758 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:397 bytes_sent:1133784 bytes_acked:560377 segs_out:785 segs_in:144 data_segs_out:783 send 20.3Mbps lastrcv:504 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.5Mbps delivered:388 busy:500ms unacked:396 rcv_space:14480 rcv_ssthresh:42242 notsent:2106840 minrtt:20.698
