------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 213047
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35058 connected with 10.0.2.22 port 5001 (ct=41.26 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  1.00 MBytes  46.6 Mbits/sec  8/0          0       67K/28248 us  206.22
[  3] 0.1800-0.3600 sec  1.16 MBytes  54.0 Mbits/sec  10/0          0      234K/86489 us  78.02
[  3] 0.3600-0.5400 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0      455K/180074 us  46.24
[  3] 0.5400-0.7200 sec  1.49 MBytes  69.5 Mbits/sec  12/0          0      675K/275265 us  31.56
[  3] 0.7200-0.9000 sec   573 KBytes  26.1 Mbits/sec  5/1         16      794K/365324 us  8.92
[  3] 0.9000-1.0800 sec  0.00 Bytes  0.00 bits/sec  0/2        153      349K/373903 us  0.00
[  3] 1.0800-1.2600 sec  0.00 Bytes  0.00 bits/sec  0/1        141      284K/374896 us  0.00
[  3] 1.2600-1.4400 sec   191 KBytes  8.69 Mbits/sec  2/1         25      397K/337077 us  3.22
[  3] 1.4400-1.6200 sec   255 KBytes  11.6 Mbits/sec  3/0         80      226K/175615 us  8.25
[  3] 1.6200-1.8000 sec   127 KBytes  5.79 Mbits/sec  1/1         83      188K/173240 us  4.18
[  3] 1.8000-1.9800 sec   764 KBytes  34.8 Mbits/sec  7/0          6      181K/157871 us  27.52
[  3] 1.9800-2.1600 sec   255 KBytes  11.6 Mbits/sec  3/0          2      179K/157820 us  9.18
[  3] 2.1600-2.3400 sec   382 KBytes  17.4 Mbits/sec  4/0         12      107K/101842 us  21.33
[  3] 2.3400-2.5200 sec   127 KBytes  5.79 Mbits/sec  1/0          0      110K/93204 us  7.77
[  3] 2.5200-2.7000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      111K/94383 us  15.34
[  3] 2.7000-2.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      114K/96504 us  11.25
[  3] 2.8800-3.0600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      117K/99200 us  14.60
[  3] 3.0600-3.2400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      120K/101159 us  10.74
[  3] 3.2400-3.4200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      123K/104041 us  13.92
[  3] 3.4200-3.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      125K/106082 us  13.65
[  3] 3.6000-3.7800 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      128K/108694 us  3.33
[  3] 3.7800-3.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      130K/108926 us  13.29
[  3] 3.9600-4.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      131K/111404 us  9.75
[  3] 4.1400-4.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      134K/113758 us  12.73
[  3] 4.3200-4.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      137K/115058 us  9.44
[  3] 4.5000-4.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      138K/117555 us  12.32
[  3] 4.6800-4.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      141K/119922 us  12.07
[  3] 4.8600-5.0400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      142K/121202 us  2.99
[  3] 5.0400-5.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      144K/122202 us  11.85
[  3] 5.2200-5.4000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      147K/124607 us  8.72
[  3] 5.4000-5.5800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      148K/126017 us  11.49
[  3] 5.5800-5.7600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      151K/128000 us  8.48
[  3] 5.7600-5.9400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      152K/129579 us  11.17
[  3] 5.9400-6.1200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      155K/130852 us  8.30
[  3] 6.1200-6.3000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      156K/133203 us  10.87
[  3] 6.3000-6.4800 sec   127 KBytes  5.79 Mbits/sec  1/0          0      159K/134345 us  5.39
[  3] 6.4800-6.6600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      159K/135809 us  8.00
[  3] 6.6600-6.8400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      162K/137118 us  10.56
[  3] 6.8400-7.0200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      164K/138448 us  10.46
[  3] 7.0200-7.2000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      166K/140613 us  7.72
[  3] 7.2000-7.3800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      168K/141516 us  10.23
[  3] 7.3800-7.5600 sec   127 KBytes  5.79 Mbits/sec  1/0          0      169K/143438 us  5.05
[  3] 7.5600-7.7400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      171K/145605 us  7.46
[  3] 7.7400-7.9200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      172K/145573 us  9.95
[  3] 7.9200-8.1000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      175K/148461 us  7.32
[  3] 8.1000-8.2800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      176K/149221 us  9.70
[  3] 8.2800-8.4600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      178K/150776 us  9.60
[  3] 8.4600-8.6400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      181K/151891 us  2.38
[  3] 8.6400-8.8200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      181K/153462 us  9.44
[  3] 8.8200-9.0000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      182K/154247 us  7.04
[  3] 9.0000-9.1800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      185K/156103 us  9.28
[  3] 9.1800-9.3600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      186K/158759 us  9.12
[  3] 9.3600-9.5400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      188K/158694 us  6.84
[  3] 9.5400-9.7200 sec   127 KBytes  5.79 Mbits/sec  1/0          0      189K/160830 us  4.50
[  3] 9.7200-9.9000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      190K/161617 us  8.96
[  3] 9.9000-10.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      192K/163559 us  6.64
[  3] 10.0800-10.2600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      193K/163906 us  8.83
[  3] 10.2600-10.4400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      195K/166172 us  6.54
[  3] 10.4400-10.6200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      197K/167552 us  8.64
[  3] 10.6200-10.8000 sec   127 KBytes  5.79 Mbits/sec  1/0          0      199K/169490 us  4.27
[  3] 10.8000-10.9800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      199K/169073 us  6.42
[  3] 10.9800-11.1600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      200K/170542 us  8.49
[  3] 11.1600-11.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      203K/172012 us  6.31
[  3] 11.3400-11.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      205K/173937 us  8.32
[  3] 11.5200-11.7000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      206K/175076 us  8.27
[  3] 11.7000-11.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      207K/176459 us  6.15
[  3] 11.8800-12.0600 sec   127 KBytes  5.79 Mbits/sec  1/0          0      209K/177873 us  4.07
[  3] 12.0600-12.2400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      209K/177786 us  6.11
[  3] 12.2400-12.4200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      212K/179842 us  8.05
[  3] 12.4200-12.6000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      213K/181028 us  6.00
[  3] 12.6000-12.7800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      214K/181577 us  7.97
[  3] 12.7800-12.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      216K/182820 us  7.92
[  3] 12.9600-13.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      217K/184981 us  5.87
[  3] 13.1400-13.3200 sec   127 KBytes  5.79 Mbits/sec  1/0          0      219K/186086 us  3.89
[  3] 13.3200-13.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      219K/185731 us  5.85
[  3] 13.5000-13.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      220K/187737 us  7.71
[  3] 13.6800-13.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      222K/188875 us  7.67
[  3] 13.8600-14.0400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      223K/189868 us  5.72
[  3] 14.0400-14.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      224K/191072 us  7.58
[  3] 14.2200-14.4000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      226K/192104 us  5.65
[  3] 14.4000-14.5800 sec   127 KBytes  5.79 Mbits/sec  1/0          0      227K/193288 us  3.75
[  3] 14.5800-14.7600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      229K/195237 us  5.56
[  3] 14.7600-14.9400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      230K/196044 us  7.39
[  3] 14.9400-15.1200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      231K/196790 us  5.52
[  3] 15.1200-15.3000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      233K/197972 us  7.31
[  3] 15.3000-15.4800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      234K/199266 us  7.27
[  3] 15.4800-15.6600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      236K/200548 us  5.42
[  3] 15.6600-15.8400 sec   127 KBytes  5.79 Mbits/sec  1/0          0      237K/204212 us  3.55
[  3] 15.8400-16.0200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      237K/201375 us  7.19
[  3] 16.0200-16.2000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      238K/203424 us  5.34
[  3] 16.2000-16.3800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      240K/203513 us  7.12
[  3] 16.3800-16.5600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      241K/205900 us  5.27
[  3] 16.5600-16.7400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      243K/206156 us  7.02
[  3] 16.7400-16.9200 sec   127 KBytes  5.79 Mbits/sec  1/0          0      244K/208427 us  3.47
[  3] 16.9200-17.1000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      244K/208496 us  5.21
[  3] 17.1000-17.2800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      246K/208583 us  6.94
[  3] 17.2800-17.4600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      247K/210426 us  5.16
[  3] 17.4600-17.6400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      248K/211126 us  6.86
[  3] 17.6400-17.8200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      250K/213549 us  5.09
[  3] 17.8200-18.0000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      251K/213414 us  6.78
[  3] 18.0000-18.1800 sec   127 KBytes  5.79 Mbits/sec  1/0          0      253K/215535 us  3.36
[  3] 18.1800-18.3600 sec   191 KBytes  8.69 Mbits/sec  2/0          0      253K/215235 us  5.05
[  3] 18.3600-18.5400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      254K/215960 us  6.70
[  3] 18.5400-18.7200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      255K/218019 us  4.98
[  3] 18.7200-18.9000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      257K/218015 us  6.64
[  3] 18.9000-19.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      258K/220905 us  4.92
[  3] 19.0800-19.2600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      260K/221604 us  6.53
