1651141327.720706, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50416004 lastrcv:50416004 lastack:50416004 unacked:1 rcv_ssthresh:42340
1651141327.777871, 	 reno wscale:8,9 rto:244 rtt:41.146/20.573 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.8Mbps pacing_rate 5.6Mbps delivered:1 unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:41.146
1651141327.811160, 	 reno wscale:8,9 rto:236 rtt:33.366/12.747 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.9Mbps lastsnd:4 lastrcv:32 lastack:4 pacing_rate 13.9Mbps delivery_rate 4.0Mbps delivered:11 app_limited busy:32ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:20.883
1651141327.841501, 	 reno wscale:8,9 rto:232 rtt:28.932/3.479 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:38 bytes_sent:95568 bytes_acked:40545 segs_out:68 segs_in:15 data_segs_out:66 send 15.2Mbps lastrcv:60 pacing_rate 30.4Mbps delivery_rate 6.9Mbps delivered:29 busy:60ms unacked:38 rcv_space:14480 rcv_ssthresh:42242 notsent:14480 minrtt:20.607
1651141327.872908, 	 reno wscale:8,9 rto:236 rtt:35.126/6.043 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:70 bytes_sent:186792 bytes_acked:86881 segs_out:131 segs_in:31 data_segs_out:129 send 23.1Mbps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 46.2Mbps delivery_rate 9.6Mbps delivered:61 busy:100ms unacked:69 rcv_space:14480 rcv_ssthresh:42242 notsent:512592 minrtt:20.607
1651141327.909527, 	 reno wscale:8,9 rto:252 rtt:48.059/8.676 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:97 bytes_sent:264984 bytes_acked:125977 segs_out:185 segs_in:43 data_segs_out:183 send 23.4Mbps lastrcv:128 pacing_rate 46.8Mbps delivery_rate 9.7Mbps delivered:88 busy:128ms unacked:96 rcv_space:14480 rcv_ssthresh:42242 notsent:434400 minrtt:20.607
1651141327.940527, 	 reno wscale:8,9 rto:260 rtt:59.825/11.775 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:121 bytes_sent:334488 bytes_acked:160729 segs_out:233 segs_in:51 data_segs_out:231 send 23.4Mbps lastrcv:160 pacing_rate 46.9Mbps delivery_rate 9.7Mbps delivered:112 busy:160ms unacked:120 rcv_space:14480 rcv_ssthresh:42242 notsent:690696 minrtt:20.607
1651141327.969716, 	 reno wscale:8,9 rto:276 rtt:73.625/13.546 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:145 bytes_sent:403992 bytes_acked:195481 segs_out:281 segs_in:59 data_segs_out:279 send 22.8Mbps lastrcv:188 pacing_rate 45.6Mbps delivery_rate 9.7Mbps delivered:136 busy:188ms unacked:144 rcv_space:14480 rcv_ssthresh:42242 notsent:621192 minrtt:20.607
1651141327.999308, 	 reno wscale:8,9 rto:292 rtt:88.061/14.064 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:169 bytes_sent:473496 bytes_acked:230233 segs_out:329 segs_in:67 data_segs_out:327 send 22.2Mbps lastrcv:216 pacing_rate 44.5Mbps delivery_rate 9.7Mbps delivered:160 busy:216ms unacked:168 rcv_space:14480 rcv_ssthresh:42242 notsent:1072968 minrtt:20.607
1651141328.026603, 	 reno wscale:8,9 rto:304 rtt:101.023/14.562 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:190 bytes_sent:534312 bytes_acked:260641 segs_out:371 segs_in:74 data_segs_out:369 send 21.8Mbps lastrcv:244 pacing_rate 43.6Mbps delivery_rate 9.5Mbps delivered:181 busy:244ms unacked:189 rcv_space:14480 rcv_ssthresh:42242 notsent:1012152 minrtt:20.607
1651141328.053825, 	 reno wscale:8,9 rto:316 rtt:115.5/14.089 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:214 bytes_sent:603816 bytes_acked:295393 segs_out:419 segs_in:82 data_segs_out:417 send 21.5Mbps lastrcv:272 pacing_rate 42.9Mbps delivery_rate 9.6Mbps delivered:205 busy:272ms unacked:213 rcv_space:14480 rcv_ssthresh:42242 notsent:942648 minrtt:20.607
