1651141042.717946, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50130976 lastrcv:50130976 lastack:50130976 unacked:1 rcv_ssthresh:42340
1651141042.743364, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50131000 lastrcv:50131000 lastack:50131000 unacked:1 rcv_ssthresh:42340
1651141042.766052, 	 reno wscale:8,9 rto:240 rtt:39.757/19.878 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.9Mbps lastsnd:4 lastrcv:4 lastack:4 pacing_rate 5.8Mbps delivered:1 busy:4ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:39.757
1651141042.788187, 	 reno wscale:8,9 rto:236 rtt:34.107/16.662 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 bytes_sent:31856 bytes_acked:8689 segs_out:24 segs_in:4 data_segs_out:22 send 5.4Mbps lastsnd:4 lastrcv:28 lastack:4 pacing_rate 10.9Mbps delivery_rate 2.9Mbps delivered:7 app_limited busy:28ms unacked:16 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:20.638
1651141042.811436, 	 reno wscale:8,9 rto:232 rtt:28.797/8.571 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 bytes_sent:66608 bytes_acked:26065 segs_out:48 segs_in:10 data_segs_out:46 send 11.3Mbps lastsnd:4 lastrcv:48 lastack:4 pacing_rate 22.5Mbps delivery_rate 6.6Mbps delivered:19 busy:48ms unacked:28 rcv_space:14480 rcv_ssthresh:42242 notsent:43440 minrtt:20.638
1651141042.832568, 	 reno wscale:8,9 rto:228 rtt:27.685/2.913 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:46 bytes_sent:117288 bytes_acked:52129 segs_out:83 segs_in:19 data_segs_out:81 send 19.2Mbps lastsnd:4 lastrcv:72 lastack:4 pacing_rate 38.5Mbps delivery_rate 9.5Mbps delivered:37 busy:72ms unacked:45 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:20.638
1651141042.854821, 	 reno wscale:8,9 rto:236 rtt:32.907/5.405 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:66 bytes_sent:173760 bytes_acked:81089 segs_out:122 segs_in:29 data_segs_out:120 send 23.2Mbps lastsnd:4 lastrcv:96 lastack:4 pacing_rate 46.5Mbps delivery_rate 9.9Mbps delivered:57 busy:96ms unacked:64 rcv_space:14480 rcv_ssthresh:42242 notsent:264984 minrtt:20.638
1651141042.879342, 	 reno wscale:8,9 rto:244 rtt:43.239/8.486 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:86 bytes_sent:234576 bytes_acked:110049 segs_out:164 segs_in:39 data_segs_out:162 send 23.0Mbps lastsnd:4 lastrcv:120 lastack:4 pacing_rate 46.1Mbps delivery_rate 9.5Mbps delivered:77 busy:120ms unacked:86 rcv_space:14480 rcv_ssthresh:42242 notsent:464808 minrtt:20.638
1651141042.902568, 	 reno wscale:8,9 rto:252 rtt:51.996/10.219 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:106 bytes_sent:291048 bytes_acked:139009 segs_out:203 segs_in:46 data_segs_out:201 send 23.6Mbps lastrcv:140 pacing_rate 47.2Mbps delivery_rate 9.7Mbps delivered:97 busy:140ms unacked:105 rcv_space:14480 rcv_ssthresh:42242 notsent:734136 minrtt:20.638
1651141042.925728, 	 reno wscale:8,9 rto:264 rtt:61.213/12.029 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:124 bytes_sent:343176 bytes_acked:165073 segs_out:239 segs_in:52 data_segs_out:237 send 23.5Mbps lastsnd:4 lastrcv:164 lastack:4 pacing_rate 46.9Mbps delivery_rate 9.9Mbps delivered:115 busy:164ms unacked:123 rcv_space:14480 rcv_ssthresh:42242 notsent:682008 minrtt:20.638
1651141042.948247, 	 reno wscale:8,9 rto:272 rtt:71.564/13.533 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:142 bytes_sent:395304 bytes_acked:191137 segs_out:275 segs_in:58 data_segs_out:273 send 23.0Mbps lastsnd:4 lastrcv:188 lastack:4 pacing_rate 46.0Mbps delivery_rate 9.7Mbps delivered:133 busy:188ms unacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:629880 minrtt:20.638
1651141042.970559, 	 reno wscale:8,9 rto:284 rtt:80.056/10.856 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:122 ssthresh:72 bytes_sent:415576 bytes_retrans:11584 bytes_acked:195481 segs_out:289 segs_in:64 data_segs_out:287 send 17.7Mbps lastsnd:4 lastrcv:208 lastack:4 pacing_rate 25.0Mbps delivery_rate 9.6Mbps delivered:151 busy:208ms unacked:144 retrans:8/8 lost:15 sacked:15 rcv_space:14480 rcv_ssthresh:42242 notsent:621192 minrtt:20.638
1651141042.994602, 	 reno wscale:8,9 rto:288 rtt:84.873/5.638 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:93 ssthresh:72 bytes_sent:430056 bytes_retrans:26064 bytes_acked:195481 segs_out:299 segs_in:71 data_segs_out:297 send 12.7Mbps lastrcv:232 pacing_rate 23.6Mbps delivery_rate 9.5Mbps delivered:172 busy:232ms unacked:144 retrans:18/18 lost:33 sacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:621192 minrtt:20.638
1651141043.017712, 	 reno wscale:8,9 rto:288 rtt:86.89/1.538 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:60 ssthresh:72 bytes_sent:460464 bytes_retrans:56472 bytes_acked:195481 segs_out:320 segs_in:80 data_segs_out:318 send 8.0Mbps lastrcv:264 pacing_rate 23.0Mbps delivery_rate 9.6Mbps delivered:199 busy:264ms unacked:144 retrans:39/39 lost:60 sacked:63 rcv_space:14480 rcv_ssthresh:42242 notsent:1012152 minrtt:20.638
1651141043.052445, 	 reno wscale:8,9 rto:272 rtt:69.022/4.131 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:70 ssthresh:72 bytes_sent:551688 bytes_retrans:107152 bytes_acked:272225 segs_out:383 segs_in:102 data_segs_out:381 send 11.7Mbps lastrcv:312 pacing_rate 23.8Mbps delivery_rate 6.0Mbps delivered:238 busy:312ms unacked:119 retrans:42/74 lost:42 sacked:49 rcv_space:14480 rcv_ssthresh:42242 notsent:971608 minrtt:20.638
1651141043.101465, 	 reno wscale:8,9 rto:252 rtt:49.244/3.567 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:43 ssthresh:72 bytes_sent:624088 bytes_retrans:153488 bytes_acked:341729 segs_out:433 segs_in:134 data_segs_out:431 send 10.1Mbps lastrcv:368 pacing_rate 25.1Mbps delivery_rate 8.0Mbps delivered:283 busy:368ms unacked:89 retrans:29/106 lost:29 sacked:46 rcv_space:14480 rcv_ssthresh:42242 notsent:1010704 minrtt:20.638
1651141043.159341, 	 reno wscale:8,9 rto:248 rtt:46.543/0.654 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:47 ssthresh:36 bytes_sent:700832 bytes_retrans:160728 bytes_acked:437297 segs_out:486 segs_in:166 data_segs_out:484 send 11.7Mbps lastrcv:420 pacing_rate 21.2Mbps delivery_rate 9.6Mbps delivered:327 busy:420ms unacked:71 retrans:5/111 lost:5 sacked:24 rcv_space:14480 rcv_ssthresh:42242 notsent:941200 minrtt:20.638
1651141043.210686, 	 reno wscale:8,9 rto:252 rtt:50.431/2.814 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:36 ssthresh:36 bytes_sent:755856 bytes_retrans:172312 bytes_acked:502457 segs_out:524 segs_in:193 data_segs_out:522 send 8.3Mbps lastrcv:472 pacing_rate 15.2Mbps delivery_rate 9.3Mbps delivered:368 busy:472ms unacked:56 retrans:8/119 lost:8 sacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:1093240 minrtt:20.638
1651141043.262282, 	 reno wscale:8,9 rto:244 rtt:42.961/0.958 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:36 ssthresh:36 bytes_sent:826808 bytes_retrans:172312 bytes_acked:602369 segs_out:573 segs_in:231 data_segs_out:571 send 9.7Mbps lastrcv:528 pacing_rate 11.6Mbps delivery_rate 9.7Mbps delivered:417 busy:528ms unacked:36 retrans:0/119 rcv_space:14480 rcv_ssthresh:42242 notsent:1152608 minrtt:20.638
