------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 176129
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35030 connected with 10.0.2.22 port 5001 (ct=41.04 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 9.7200-9.9000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       59K/47753 us  30.32
[  3] 9.9000-10.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       63K/52151 us  20.82
[  3] 10.0800-10.2600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       69K/56610 us  19.18
[  3] 10.2600-10.4400 sec   127 KBytes  5.79 Mbits/sec  1/0          0       73K/60903 us  11.89
[  3] 10.4400-10.6200 sec   191 KBytes  8.69 Mbits/sec  2/0          1       41K/61778 us  17.58
[  3] 10.6200-10.8000 sec   318 KBytes  14.5 Mbits/sec  3/0          0       39K/32187 us  56.23
[  3] 10.8000-10.9800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       50K/41702 us  26.04
[  3] 10.9800-11.1600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       56K/47285 us  30.62
[  3] 11.1600-11.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51689 us  21.01
[  3] 11.3400-11.5200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/55571 us  26.06
[  3] 11.5200-11.7000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       72K/59460 us  12.18
[  3] 11.7000-11.8800 sec   127 KBytes  5.79 Mbits/sec  2/0          2       43K/59943 us  12.08
[  3] 11.8800-12.0600 sec   318 KBytes  14.5 Mbits/sec  3/0          0       38K/31326 us  57.78
[  3] 12.0600-12.2400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       49K/40494 us  35.76
[  3] 12.2400-12.4200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       56K/45871 us  23.68
[  3] 12.4200-12.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       60K/49347 us  29.34
[  3] 12.6000-12.7800 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       66K/54877 us  6.60
[  3] 12.7800-12.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/57210 us  25.31
[  3] 12.9600-13.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/61048 us  17.79
[  3] 13.1400-13.3200 sec   255 KBytes  11.6 Mbits/sec  2/0          4       38K/36683 us  39.47
[  3] 13.3200-13.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       45K/36179 us  30.02
[  3] 13.5000-13.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       52K/42285 us  34.24
[  3] 13.6800-13.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       57K/47458 us  30.51
[  3] 13.8600-14.0400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0       63K/52070 us  6.95
[  3] 14.0400-14.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       65K/54378 us  26.63
[  3] 14.2200-14.4000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       70K/58554 us  18.55
[  3] 14.4000-14.5800 sec   255 KBytes  11.6 Mbits/sec  2/0          1       70K/62031 us  23.34
[  3] 14.5800-14.7600 sec   255 KBytes  11.6 Mbits/sec  2/0          2       41K/33036 us  43.83
[  3] 14.7600-14.9400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       48K/39584 us  27.44
[  3] 14.9400-15.1200 sec   255 KBytes  11.6 Mbits/sec  2/0          0       53K/44623 us  32.45
[  3] 15.1200-15.3000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       60K/50061 us  14.46
[  3] 15.3000-15.4800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       62K/51853 us  20.94
[  3] 15.4800-15.6600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       67K/55329 us  26.17
[  3] 15.6600-15.8400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       72K/59474 us  18.26
