time,value
0.5,45.6
1.0,20.3
1.5,14.5
2.0,11.6
2.5,5.79
3.0,8.69
3.5,11.6
4.0,8.69
4.5,11.6
5.0,11.6
5.5,8.69
6.0,5.79
6.5,8.69
7.0,11.6
7.5,8.69
8.0,11.6
8.5,11.6
9.0,8.69
9.5,5.79
10.0,8.69
10.5,11.6
11.0,8.69
11.5,11.6
12.0,11.6
12.5,5.79
13.0,11.6
13.5,8.69
14.0,8.69
14.5,8.69
15.0,14.5
15.5,8.69
16.0,5.79
16.5,8.69
17.0,11.6
17.5,11.6
18.0,5.79
18.5,14.5
19.0,5.79
19.5,8.69
20.0,11.6
20.5,8.69
21.0,11.6
21.5,8.69
22.0,11.6
22.5,5.79
23.0,8.69
23.5,11.6
24.0,8.69
24.5,11.6
25.0,8.69
25.5,5.79
26.0,11.6
26.5,11.6
27.0,8.69
27.5,11.6
28.0,8.69
28.5,8.69
29.0,5.79
29.5,8.69
30.0,14.5
30.5,8.69
31.0,11.6
31.5,8.69
32.0,11.6
32.5,5.79
33.0,5.79
33.5,14.5
34.0,11.6
34.5,8.69
35.0,11.6
35.5,2.9
36.0,11.6
36.5,8.69
37.0,11.6
37.5,8.69
38.0,11.6
38.5,11.6
39.0,2.9
39.5,11.6
40.0,8.69
40.5,11.6
41.0,11.6
41.5,8.69
42.0,11.6
42.5,5.79
43.0,8.69
43.5,11.6
44.0,8.69
44.5,11.6
45.0,11.6
45.5,5.79
46.0,8.69
46.5,11.6
47.0,8.69
47.5,11.6
48.0,11.6
48.5,2.9
49.0,11.6
49.5,8.69
50.0,11.6
50.5,8.69
51.0,11.6
51.5,5.79
52.0,11.6
52.5,8.69
53.0,11.6
53.5,8.69
54.0,11.6
54.5,8.69
55.0,5.79
55.5,11.6
56.0,8.69
56.5,11.6
57.0,11.6
57.5,2.9
58.0,11.6
58.5,8.69
59.0,11.6
59.5,11.6
60.0,8.69
60.5,5.79
61.0,11.6
61.5,8.69
62.0,11.6
62.5,8.69
63.0,8.69
63.5,14.5
64.0,2.9
64.5,11.6
65.0,11.6
65.5,8.69
66.0,11.6
66.5,8.69
67.0,11.6
67.5,5.79
68.0,8.69
68.5,11.6
69.0,8.69
69.5,11.6
70.0,11.6
70.5,2.9
71.0,11.6
71.5,11.6
72.0,8.69
72.5,11.6
73.0,8.69
73.5,11.6
74.0,2.9
74.5,8.69
75.0,14.5
75.5,8.69
76.0,11.6
76.5,5.79
77.0,11.6
77.5,8.69
78.0,8.69
78.5,11.6
79.0,11.6
79.5,8.69
80.0,5.79
80.5,8.69
81.0,11.6
81.5,8.69
82.0,11.6
82.5,11.6
83.0,8.69
83.5,11.6
84.0,2.9
84.5,11.6
85.0,11.6
85.5,8.69
86.0,11.6
86.5,8.69
87.0,11.6
87.5,5.79
88.0,8.69
88.5,8.69
89.0,11.6
89.5,11.6
90.0,8.69
90.5,11.6
91.0,8.69
91.5,5.79
92.0,8.69
92.5,11.6
93.0,8.69
93.5,11.6
94.0,11.6
94.5,8.69
95.0,11.6
95.5,2.9
96.0,11.6
96.5,8.69
97.0,11.6
97.5,11.6
98.0,8.69
98.5,8.69
99.0,11.6
99.5,5.79
100.0,8.69
100.5,11.6
101.0,8.69
101.5,11.6
102.0,11.6
102.5,2.9
103.0,11.6
103.5,11.6
104.0,8.69
104.5,11.6
105.0,11.6
105.5,8.69
106.0,5.79
106.5,8.69
107.0,11.6
107.5,8.69
108.0,11.6
108.5,8.69
109.0,8.69
109.5,8.69
110.0,11.6
110.5,8.69
111.0,11.6
111.5,8.69
112.0,5.79
112.5,8.69
113.0,11.6
113.5,11.6
114.0,11.6
114.5,8.69
115.0,5.79
115.5,11.6
116.0,5.79
116.5,14.5
117.0,8.69
117.5,11.6
118.0,8.69
118.5,5.79
119.0,11.6
119.5,8.69
120.0,11.6
120.5,11.6
121.0,8.69
121.5,5.79
122.0,11.6
122.5,8.69
123.0,11.6
123.5,11.6
124.0,8.69
124.5,5.79
125.0,8.69
125.5,11.6
126.0,8.69
126.5,11.6
127.0,8.69
127.5,5.79
128.0,11.6
128.5,11.6
129.0,8.69
129.5,11.6
130.0,8.69
130.5,5.79
131.0,11.6
131.5,8.69
132.0,11.6
132.5,8.69
133.0,11.6
133.5,8.69
134.0,5.79
134.5,11.6
135.0,11.6
135.5,8.69
136.0,11.6
136.5,8.69
137.0,5.79
137.5,11.6
138.0,8.69
138.5,8.69
139.0,11.6
139.5,11.6
140.0,8.69
140.5,11.6
141.0,5.79
141.5,8.69
142.0,11.6
142.5,8.69
143.0,11.6
143.5,11.6
144.0,2.9
144.5,11.6
145.0,8.69
145.5,11.6
146.0,8.69
146.5,11.6
147.0,11.6
147.5,8.69
148.0,5.79
148.5,8.69
149.0,11.6
149.5,8.69
150.0,8.69
150.5,14.5
151.0,8.69
151.5,11.6
152.0,2.9
152.5,11.6
153.0,8.69
153.5,11.6
154.0,8.69
154.5,11.6
155.0,5.79
155.5,8.69
156.0,11.6
156.5,11.6
157.0,8.69
157.5,11.6
158.0,8.69
158.5,5.79
159.0,11.6
159.5,8.69
160.0,11.6
160.5,8.69
161.0,11.6
161.5,8.69
162.0,5.79
162.5,8.69
163.0,11.6
163.5,11.6
164.0,8.69
164.5,11.6
165.0,2.9
165.5,11.6
166.0,11.6
166.5,8.69
