time,value
0.0,41.5
10.26491093635559,57.8
10.448195934295654,62.2
10.644104957580566,33.0
10.802191019058228,40.3
10.96353006362915,44.4
11.14605188369751,47.3
11.332664966583252,51.5
11.511354923248291,57.8
11.692864894866943,59.7
11.876960039138794,30.9
12.034899950027466,36.5
12.201247930526733,41.2
12.382658958435059,46.7
12.559924840927124,49.3
12.743442058563232,57.0
12.937679052352905,59.9
13.133522033691406,63.0
13.321415901184082,35.0
13.481963872909546,37.1
13.649581909179688,42.8
13.818134069442749,48.5
13.996752977371216,50.3
14.174322843551636,56.6
14.360116004943848,59.8
14.556731939315796,62.4
14.75570297241211,37.5
14.920938968658447,42.2
15.090061902999878,45.0
15.265612840652466,49.7
15.452568054199219,53.0
15.633273839950562,58.5
15.82039499282837,62.7
16.009979963302612,32.8
16.177361011505127,39.7
16.341970920562744,44.1
16.516874074935913,49.4
16.69682288169861,52.2
16.872761011123657,58.6
17.057286977767944,60.6
17.245040893554688,32.4
17.409290075302124,38.8
17.57939887046814,42.9
17.75171995162964,47.0
17.926069021224976,52.3
18.103484869003296,55.1
18.280292987823486,61.2
28.59923005104065,46.7
28.795573949813843,50.8
28.97714400291443,56.5
29.160402059555054,59.2
29.352882862091064,63.2
29.54402804374695,33.4
29.700403928756714,38.1
29.887932062149048,43.6
30.060853004455566,48.4
30.228679895401,51.7
30.399143934249878,55.0
40.709660053253174,38.0
40.86968398094177,44.0
41.03672504425049,50.0
41.21855592727661,52.5
41.41371202468872,57.6
41.59807085990906,60.0
41.781383991241455,33.0
41.94014501571655,36.8
42.1009418964386,42.5
42.27446889877319,46.9
42.447246074676514,50.3
42.62571406364441,56.6
42.80736589431763,59.6
42.997397899627686,62.3
43.189563035964966,30.5
43.3722870349884,40.1
43.542322874069214,42.9
43.714256048202515,47.8
43.88918399810791,52.9
44.06978487968445,59.5
44.25385594367981,59.1
44.45427584648132,31.4
44.61540699005127,39.3
44.78244185447693,42.5
44.95021104812622,46.4
45.12553405761719,54.2
45.317781925201416,54.6
45.500284910202026,59.5
45.6845018863678,61.8
45.87609887123108,34.8
46.03633904457092,39.1
46.1964590549469,45.5
46.38023495674133,47.9
46.553844928741455,53.1
46.74868893623352,55.3
46.9330849647522,61.7
47.12507891654968,32.6
47.28830289840698,0.0
