------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 223222
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35064 connected with 10.0.2.22 port 5001 (ct=41.56 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec   226 KBytes  10.3 Mbits/sec  2/0          6       14K/21354 us  60.27
[  3] 0.1800-0.3600 sec   195 KBytes  8.88 Mbits/sec  2/0          0       25K/20933 us  53.03
[  3] 0.3600-0.5400 sec   191 KBytes  8.69 Mbits/sec  2/0          2       15K/21440 us  50.65
[  3] 0.5400-0.7200 sec   319 KBytes  14.5 Mbits/sec  3/0          0       25K/20961 us  86.55
[  3] 0.7200-0.9000 sec  62.9 KBytes  2.86 Mbits/sec  1/0          2       25K/20774 us  17.22
[  3] 0.9000-1.0800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       29K/23347 us  46.52
[  3] 1.0800-1.2600 sec   191 KBytes  8.69 Mbits/sec  2/0          2       21K/20931 us  51.88
[  3] 1.2600-1.4400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       32K/25189 us  43.11
[  3] 1.4400-1.6200 sec   191 KBytes  8.69 Mbits/sec  2/0          1       24K/21095 us  51.48
[  3] 1.6200-1.8000 sec   191 KBytes  8.69 Mbits/sec  2/0          2       15K/22616 us  48.02
[  3] 1.8000-1.9800 sec   255 KBytes  11.6 Mbits/sec  3/0          0       28K/22526 us  64.28
[  3] 1.9800-2.1600 sec   191 KBytes  8.69 Mbits/sec  2/0          1       24K/21793 us  49.83
[  3] 2.1600-2.3400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       33K/26157 us  41.52
[  3] 2.3400-2.5200 sec   191 KBytes  8.69 Mbits/sec  2/0          2       25K/20668 us  52.54
[  3] 2.5200-2.7000 sec   191 KBytes  8.69 Mbits/sec  2/0          1       16K/23566 us  46.08
[  3] 2.7000-2.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       28K/21292 us  51.01
[  3] 2.8800-3.0600 sec   191 KBytes  8.69 Mbits/sec  2/0          2       18K/21873 us  49.65
[  3] 3.0600-3.2400 sec   191 KBytes  8.69 Mbits/sec  2/0          0       29K/22716 us  47.81
[  3] 3.2400-3.4200 sec   191 KBytes  8.69 Mbits/sec  2/0          3       18K/20993 us  51.73
[  3] 3.4200-3.6000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       29K/23815 us  45.60
[  3] 3.6000-3.7800 sec   191 KBytes  8.69 Mbits/sec  2/0          1       22K/21237 us  51.14
[  3] 3.7800-3.9600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       33K/26316 us  41.27
[  3] 3.9600-4.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          2       24K/20922 us  51.91
[  3] 4.1400-4.3200 sec   192 KBytes  8.72 Mbits/sec  2/0          2       15K/22555 us  48.33
[  3] 4.3200-4.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0       24K/21081 us  51.52
[  3] 4.5000-4.6800 sec   191 KBytes  8.69 Mbits/sec  2/0          2       16K/25580 us  42.46
[  3] 4.6800-4.8600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       28K/21414 us  50.71
[  3] 4.8600-5.0400 sec   127 KBytes  5.76 Mbits/sec  2/0          1       18K/21813 us  33.00
[  3] 5.0400-5.2200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       29K/22751 us  47.73
[  3] 5.2200-5.4000 sec   255 KBytes  11.6 Mbits/sec  2/0          2       21K/20872 us  69.58
[  3] 5.4000-5.5800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       31K/23708 us  45.81
[  3] 5.5800-5.7600 sec   127 KBytes  5.76 Mbits/sec  2/0          2       24K/20944 us  34.37
[  3] 5.7600-5.9400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       33K/26286 us  55.25
[  3] 5.9400-6.1200 sec   191 KBytes  8.69 Mbits/sec  2/0          1       25K/21019 us  51.67
[  3] 6.1200-6.3000 sec   191 KBytes  8.69 Mbits/sec  2/0          2       15K/22386 us  48.51
[  3] 6.3000-6.4800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       28K/21222 us  51.17
[  3] 6.4800-6.6600 sec   191 KBytes  8.69 Mbits/sec  2/0          1       16K/23788 us  45.65
