1651141605.180207, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50693448 lastrcv:50693448 lastack:50693448 unacked:1 rcv_ssthresh:42340
1651141605.217596, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50693476 lastrcv:50693476 lastack:50693476 unacked:1 rcv_ssthresh:42340
1651141605.250493, 	 reno wscale:8,9 rto:236 rtt:35.289/17.835 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 bytes_sent:31856 bytes_acked:8689 segs_out:24 segs_in:4 data_segs_out:22 send 5.3Mbps lastrcv:24 pacing_rate 10.5Mbps delivery_rate 2.8Mbps delivered:7 app_limited busy:24ms unacked:16 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:20.81
1651141605.280367, 	 reno wscale:8,9 rto:232 rtt:28.552/7.681 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_sent:47784 bytes_retrans:5792 bytes_acked:11585 segs_out:35 segs_in:11 data_segs_out:33 send 3.7Mbps lastsnd:4 lastrcv:56 lastack:4 pacing_rate 10.2Mbps delivery_rate 5.2Mbps delivered:21 busy:56ms unacked:21 retrans:4/4 lost:4 sacked:12 rcv_space:14480 rcv_ssthresh:42242 notsent:68056 minrtt:20.611
1651141605.310050, 	 reno wscale:8,9 rto:224 rtt:23.063/3.269 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_sent:66608 bytes_retrans:8688 bytes_acked:46337 segs_out:48 segs_in:21 data_segs_out:46 send 4.5Mbps lastrcv:88 pacing_rate 5.4Mbps delivery_rate 5.0Mbps delivered:33 busy:88ms unacked:8 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:52128 minrtt:20
1651141605.349324, 	 reno wscale:8,9 rto:224 rtt:21.133/0.852 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:11 ssthresh:9 bytes_sent:97016 bytes_retrans:8688 bytes_acked:72401 segs_out:69 segs_in:34 data_segs_out:67 send 6.0Mbps lastrcv:128 pacing_rate 7.2Mbps delivery_rate 5.5Mbps delivered:51 busy:128ms unacked:11 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:55024 minrtt:20
1651141605.381856, 	 reno wscale:8,9 rto:224 rtt:20.765/0.403 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:12 ssthresh:9 bytes_sent:118736 bytes_retrans:8688 bytes_acked:92673 segs_out:84 segs_in:43 data_segs_out:82 send 6.7Mbps lastrcv:156 pacing_rate 8.0Mbps delivery_rate 6.0Mbps delivered:65 busy:156ms unacked:12 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:121632 minrtt:20
1651141605.410048, 	 reno wscale:8,9 rto:224 rtt:20.989/0.675 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:13 ssthresh:9 bytes_sent:141904 bytes_retrans:8688 bytes_acked:114393 segs_out:100 segs_in:53 data_segs_out:98 send 7.2Mbps lastsnd:8 lastrcv:184 lastack:8 pacing_rate 8.6Mbps delivery_rate 6.8Mbps delivered:80 busy:184ms unacked:13 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:98464 minrtt:20
1651141605.439087, 	 reno wscale:8,9 rto:224 rtt:21.078/0.466 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:15 ssthresh:9 bytes_sent:167968 bytes_retrans:8688 bytes_acked:139009 segs_out:118 segs_in:62 data_segs_out:116 send 8.2Mbps lastsnd:4 lastrcv:212 lastack:4 pacing_rate 9.9Mbps delivery_rate 7.0Mbps delivered:97 busy:212ms unacked:14 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:137560 minrtt:20
1651141605.464905, 	 reno wscale:8,9 rto:224 rtt:21.08/0.79 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:9 bytes_sent:201272 bytes_retrans:8688 bytes_acked:169417 segs_out:141 segs_in:73 data_segs_out:139 send 8.8Mbps lastsnd:4 lastrcv:240 lastack:4 pacing_rate 10.6Mbps delivery_rate 8.2Mbps delivered:118 busy:240ms unacked:16 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:104256 minrtt:20
1651141605.492072, 	 reno wscale:8,9 rto:224 rtt:21.101/0.593 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:17 ssthresh:9 bytes_sent:230232 bytes_retrans:8688 bytes_acked:198377 segs_out:161 segs_in:83 data_segs_out:159 send 9.3Mbps lastsnd:4 lastrcv:268 lastack:4 pacing_rate 11.2Mbps delivery_rate 8.6Mbps delivered:138 busy:268ms unacked:16 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:75296 minrtt:20
1651141605.520968, 	 reno wscale:8,9 rto:224 rtt:20.749/0.224 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:18 ssthresh:9 bytes_sent:262088 bytes_retrans:8688 bytes_acked:227337 segs_out:183 segs_in:93 data_segs_out:181 send 10.0Mbps lastsnd:4 lastrcv:296 lastack:4 pacing_rate 12.1Mbps delivery_rate 8.8Mbps delivered:158 busy:296ms unacked:18 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:112944 minrtt:20
1651141605.550407, 	 reno wscale:8,9 rto:224 rtt:21.587/0.61 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 ssthresh:9 bytes_sent:299736 bytes_retrans:8688 bytes_acked:263537 segs_out:209 segs_in:107 data_segs_out:207 send 10.7Mbps lastsnd:4 lastrcv:324 lastack:4 pacing_rate 12.9Mbps delivery_rate 9.0Mbps delivered:183 busy:324ms unacked:19 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:75296 minrtt:20
1651141605.578558, 	 reno wscale:8,9 rto:224 rtt:22.852/0.468 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:21 ssthresh:9 bytes_sent:337384 bytes_retrans:8688 bytes_acked:299737 segs_out:235 segs_in:120 data_segs_out:233 send 10.6Mbps lastrcv:352 pacing_rate 12.8Mbps delivery_rate 9.5Mbps delivered:208 busy:352ms unacked:20 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:102808 minrtt:20
1651141605.607659, 	 reno wscale:8,9 rto:224 rtt:23.941/0.759 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:22 ssthresh:9 bytes_sent:367792 bytes_retrans:8688 bytes_acked:328697 segs_out:256 segs_in:131 data_segs_out:254 send 10.6Mbps lastrcv:376 pacing_rate 12.8Mbps delivery_rate 9.3Mbps delivered:228 busy:376ms unacked:21 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:137560 minrtt:20
