1651141114.622029, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50202876 lastrcv:50202876 lastack:50202876 unacked:1 rcv_ssthresh:42340
1651141114.643320, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:50202896 lastrcv:50202896 lastack:50202896 unacked:1 rcv_ssthresh:42340
1651141114.662180, 	 reno wscale:8,9 rto:244 rtt:42.557/21.278 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_sent:14480 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.7Mbps lastsnd:16 lastrcv:20 lastack:20 pacing_rate 5.4Mbps delivered:1 busy:20ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:42.557
1651141114.685500, 	 reno wscale:8,9 rto:236 rtt:34.067/13.582 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_sent:43440 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.8Mbps lastsnd:8 lastrcv:40 lastack:8 pacing_rate 13.6Mbps delivery_rate 4.0Mbps delivered:11 app_limited busy:40ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:20.428
1651141114.705182, 	 reno wscale:8,9 rto:232 rtt:28.981/4.235 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:36 bytes_sent:89776 bytes_acked:37649 segs_out:64 segs_in:14 data_segs_out:62 send 14.4Mbps lastrcv:60 pacing_rate 28.8Mbps delivery_rate 6.9Mbps delivered:27 busy:60ms unacked:36 rcv_space:14480 rcv_ssthresh:42242 notsent:20272 minrtt:20.428
1651141114.732985, 	 reno wscale:8,9 rto:232 rtt:31.49/4.293 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:62 bytes_sent:165072 bytes_acked:75297 segs_out:116 segs_in:27 data_segs_out:114 send 22.8Mbps lastrcv:92 pacing_rate 45.6Mbps delivery_rate 9.7Mbps delivered:53 busy:92ms unacked:62 rcv_space:14480 rcv_ssthresh:42242 notsent:273672 minrtt:20.428
1651141114.757245, 	 reno wscale:8,9 rto:244 rtt:40.38/8.106 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:80 bytes_sent:217200 bytes_acked:101361 segs_out:152 segs_in:36 data_segs_out:150 send 22.9Mbps lastrcv:112 pacing_rate 45.9Mbps delivery_rate 9.6Mbps delivered:71 busy:112ms unacked:80 rcv_space:14480 rcv_ssthresh:42242 notsent:482184 minrtt:20.428
1651141114.777530, 	 reno wscale:8,9 rto:252 rtt:48.205/8.664 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:97 bytes_sent:264984 bytes_acked:125977 segs_out:185 segs_in:43 data_segs_out:183 send 23.3Mbps lastrcv:132 pacing_rate 46.6Mbps delivery_rate 9.9Mbps delivered:88 busy:132ms unacked:96 rcv_space:14480 rcv_ssthresh:42242 notsent:434400 minrtt:20.428
1651141114.796636, 	 reno wscale:8,9 rto:256 rtt:55.735/11.41 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:112 bytes_sent:308424 bytes_acked:147697 segs_out:215 segs_in:48 data_segs_out:213 send 23.3Mbps lastrcv:152 pacing_rate 46.6Mbps delivery_rate 9.6Mbps delivered:103 busy:152ms unacked:111 rcv_space:14480 rcv_ssthresh:42242 notsent:716760 minrtt:20.428
1651141114.815928, 	 reno wscale:8,9 rto:264 rtt:63.767/12.666 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:127 bytes_sent:351864 bytes_acked:169417 segs_out:245 segs_in:53 data_segs_out:243 send 23.1Mbps lastsnd:4 lastrcv:172 lastack:4 pacing_rate 46.1Mbps delivery_rate 9.7Mbps delivered:118 busy:172ms unacked:126 rcv_space:14480 rcv_ssthresh:42242 notsent:673320 minrtt:20.428
1651141114.835087, 	 reno wscale:8,9 rto:276 rtt:73.931/13.288 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:145 bytes_sent:403992 bytes_acked:195481 segs_out:281 segs_in:59 data_segs_out:279 send 22.7Mbps lastrcv:192 pacing_rate 45.4Mbps delivery_rate 9.6Mbps delivered:136 busy:192ms unacked:144 rcv_space:14480 rcv_ssthresh:42242 notsent:621192 minrtt:20.428
