------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 184988
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35038 connected with 10.0.2.22 port 5001 (ct=42.64 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  1.00 MBytes  46.6 Mbits/sec  8/0          0       67K/28046 us  207.71
[  3] 0.1800-0.3600 sec  1.16 MBytes  54.0 Mbits/sec  10/0          0      238K/88002 us  76.68
[  3] 0.3600-0.5400 sec   255 KBytes  11.6 Mbits/sec  2/1         32      236K/156684 us  9.24
[  3] 0.5400-0.7200 sec   191 KBytes  8.69 Mbits/sec  2/0        172       97K/81023 us  13.40
[  3] 0.7200-0.9000 sec   318 KBytes  14.5 Mbits/sec  3/1          3      158K/81600 us  22.18
[  3] 0.9000-1.0800 sec   318 KBytes  14.5 Mbits/sec  3/0         48       91K/61352 us  29.50
[  3] 1.0800-1.2600 sec   318 KBytes  14.5 Mbits/sec  3/0          7       48K/39075 us  46.32
[  3] 1.2600-1.4400 sec   127 KBytes  5.79 Mbits/sec  1/0          0       56K/46845 us  15.46
[  3] 1.4400-1.6200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       59K/49272 us  22.04
[  3] 1.6200-1.8000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       65K/53603 us  27.01
[  3] 1.8000-1.9800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       69K/57691 us  25.10
[  3] 1.9800-2.1600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       73K/61679 us  17.61
[  3] 2.1600-2.3400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       77K/65039 us  22.26
[  3] 2.3400-2.5200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       82K/68347 us  15.89
[  3] 2.5200-2.7000 sec   127 KBytes  5.79 Mbits/sec  1/0          0       86K/71154 us  10.18
[  3] 2.7000-2.8800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       87K/73053 us  14.87
[  3] 2.8800-3.0600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       91K/76993 us  18.81
[  3] 3.0600-3.2400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       94K/79802 us  18.14
[  3] 3.2400-3.4200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       98K/82192 us  13.21
[  3] 3.4200-3.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      101K/85557 us  16.92
[  3] 3.6000-3.7800 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      104K/88214 us  4.10
[  3] 3.7800-3.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      106K/89519 us  16.18
[  3] 3.9600-4.1400 sec   255 KBytes  11.6 Mbits/sec  2/0          0      108K/92070 us  15.73
[  3] 4.1400-4.3200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      111K/94352 us  11.51
[  3] 4.3200-4.5000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      114K/96804 us  14.96
[  3] 4.5000-4.6800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      117K/99234 us  10.94
[  3] 4.6800-4.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      120K/101673 us  14.24
[  3] 4.8600-5.0400 sec  63.6 KBytes  2.90 Mbits/sec  1/0          0      123K/103908 us  3.48
[  3] 5.0400-5.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      124K/104417 us  13.87
[  3] 5.2200-5.4000 sec   255 KBytes  11.6 Mbits/sec  3/0          4       62K/88938 us  16.28
[  3] 5.4000-5.5800 sec   191 KBytes  8.69 Mbits/sec  2/0          0       67K/55696 us  19.50
[  3] 5.5800-5.7600 sec   255 KBytes  11.6 Mbits/sec  2/0          0       72K/59518 us  24.33
[  3] 5.7600-5.9400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       76K/63992 us  22.63
