time,value
0.0,9.54
0.11612915992736816,15.9
0.23997211456298828,17.5
0.36306309700012207,11.8
0.48023414611816406,11.7
0.6005799770355225,12.4
0.7189640998840332,13.3
0.8396861553192139,14.6
0.9606120586395264,13.0
1.0779139995574951,14.7
1.198979139328003,12.1
1.3160829544067383,6.23
1.427448034286499,11.1
1.5432031154632568,13.2
1.660938024520874,16.5
1.782499074935913,17.0
1.904128074645996,14.8
2.0258331298828125,14.3
2.153215169906616,13.2
2.2706761360168457,16.0
2.393864154815674,16.0
2.514249086380005,17.0
2.6460371017456055,18.1
2.768996000289917,21.3
2.895400047302246,15.3
3.0157761573791504,15.1
3.137143135070801,13.7
3.258790969848633,14.6
3.383229970932007,13.3
3.502026081085205,11.2
3.62308406829834,13.6
3.7427151203155518,17.3
3.8692009449005127,19.5
3.996799945831299,14.7
4.119312047958374,16.8
4.240544080734253,19.8
4.364526033401489,14.1
4.484394073486328,15.4
4.604200124740601,11.7
4.723562955856323,18.6
4.852205991744995,14.7
4.975481033325195,14.4
5.095479965209961,15.3
5.2153849601745605,16.5
5.337115049362183,17.9
5.459994077682495,12.1
5.577243089675903,14.0
5.695645093917847,13.8
5.81755805015564,18.0
5.95128607749939,18.1
6.078052997589111,12.3
6.2008819580078125,12.9
6.3256471157073975,14.8
6.452574014663696,18.6
6.583397150039673,16.3
6.70781397819519,12.9
6.826514959335327,18.3
6.965914011001587,12.6
7.088451147079468,17.6
7.219288110733032,16.1
7.345854997634888,15.9
7.468048095703125,16.0
7.600255966186523,19.6
7.733468055725098,17.7
7.860424041748047,20.6
7.999269008636475,12.9
8.129512071609497,14.4
8.251155138015747,15.9
8.376353025436401,13.9
8.495174169540405,16.6
8.617012023925781,18.8
8.749866008758545,14.9
8.877169132232666,13.7
9.008039951324463,14.3
9.137801170349121,17.2
9.25941801071167,13.6
9.384529113769531,17.1
9.514336109161377,16.4
9.638431072235107,14.0
9.767112016677856,13.5
9.894165992736816,15.7
10.014702081680298,167.0
10.29288911819458,629.0
11.057278156280518,1385.0
12.585428953170776,3016.0
35.94958209991455,627.0
36.76715898513794,456.0
37.33768606185913,474.0
37.91773796081543,493.0
38.53737807273865,664.0
39.33497095108032,755.0
50.30445599555969,373.0
50.79851818084717,635.0
51.74563217163086,525.0
52.62463998794556,531.0
