time,value
0.5,46.6
1.0,54.0
1.5,11.6
2.0,8.69
2.5,14.5
3.0,14.5
3.5,14.5
4.0,5.79
4.5,8.69
5.0,11.6
5.5,11.6
6.0,8.69
6.5,11.6
7.0,8.69
7.5,5.79
8.0,8.69
8.5,11.6
9.0,11.6
9.5,8.69
10.0,11.6
10.5,2.9
11.0,11.6
11.5,11.6
12.0,8.69
12.5,11.6
13.0,8.69
13.5,11.6
14.0,2.9
14.5,11.6
15.0,11.6
15.5,8.69
16.0,11.6
16.5,11.6
17.0,8.69
17.5,5.79
18.0,11.6
18.5,8.69
19.0,11.6
19.5,8.69
20.0,11.6
20.5,5.79
21.0,8.69
21.5,11.6
22.0,8.69
22.5,11.6
23.0,8.69
23.5,11.6
24.0,5.79
24.5,8.69
25.0,11.6
25.5,8.69
26.0,5.79
26.5,17.4
27.0,8.69
27.5,5.79
28.0,11.6
28.5,8.69
29.0,11.6
29.5,8.69
30.0,11.6
30.5,8.69
31.0,5.79
31.5,11.6
32.0,8.69
32.5,11.6
33.0,8.69
33.5,11.6
34.0,5.79
34.5,8.69
35.0,11.6
35.5,8.69
36.0,11.6
36.5,8.69
37.0,5.79
37.5,11.6
38.0,11.6
38.5,8.69
39.0,11.6
39.5,8.69
40.0,11.6
40.5,5.79
41.0,8.69
41.5,11.6
42.0,8.69
42.5,11.6
43.0,8.69
43.5,11.6
44.0,8.69
44.5,5.79
45.0,11.6
45.5,8.69
46.0,11.6
46.5,8.69
47.0,11.6
47.5,5.79
48.0,8.69
48.5,8.69
49.0,14.5
49.5,8.69
50.0,11.6
50.5,8.69
51.0,5.79
51.5,11.6
52.0,8.69
52.5,11.6
53.0,8.69
53.5,11.6
54.0,5.79
54.5,8.69
55.0,11.6
55.5,8.69
56.0,11.6
56.5,8.69
57.0,11.6
57.5,5.79
58.0,8.69
58.5,11.6
59.0,11.6
59.5,5.79
60.0,14.5
60.5,5.79
61.0,8.69
61.5,11.6
62.0,11.6
62.5,8.69
63.0,11.6
63.5,5.79
64.0,8.69
64.5,11.6
65.0,8.69
65.5,11.6
66.0,8.69
66.5,5.79
67.0,11.6
67.5,8.69
68.0,11.6
68.5,8.69
69.0,11.6
69.5,8.69
70.0,5.79
70.5,11.6
71.0,8.69
71.5,11.6
72.0,8.69
72.5,11.6
73.0,8.69
73.5,11.6
74.0,5.79
74.5,8.69
75.0,11.6
75.5,8.69
76.0,11.6
76.5,8.69
77.0,11.6
77.5,5.79
78.0,8.69
78.5,11.6
79.0,8.69
79.5,11.6
80.0,8.69
80.5,5.79
81.0,11.6
81.5,11.6
82.0,8.69
82.5,11.6
83.0,8.69
83.5,11.6
84.0,8.69
84.5,5.79
85.0,11.6
85.5,8.69
86.0,11.6
86.5,8.69
87.0,11.6
87.5,5.79
88.0,8.69
88.5,11.6
89.0,8.69
89.5,11.6
90.0,8.69
90.5,11.6
91.0,5.79
91.5,8.69
92.0,11.6
92.5,8.69
93.0,11.6
93.5,8.69
94.0,11.6
94.5,11.6
95.0,2.9
95.5,11.6
96.0,11.6
96.5,8.69
97.0,11.6
97.5,8.69
98.0,5.79
98.5,11.6
99.0,8.69
99.5,11.6
100.0,8.69
100.5,11.6
101.0,8.69
101.5,5.79
102.0,11.6
102.5,8.69
103.0,11.6
103.5,8.69
104.0,11.6
104.5,8.69
105.0,11.6
105.5,5.79
106.0,8.69
106.5,11.6
107.0,8.69
107.5,11.6
108.0,8.69
108.5,5.79
109.0,11.6
109.5,8.69
110.0,11.6
110.5,8.69
111.0,11.6
111.5,8.69
112.0,11.6
112.5,5.79
113.0,11.6
113.5,8.69
114.0,11.6
114.5,8.69
115.0,11.6
115.5,5.79
116.0,8.69
116.5,11.6
117.0,8.69
117.5,11.6
118.0,8.69
118.5,5.79
119.0,11.6
119.5,8.69
120.0,11.6
120.5,8.69
121.0,11.6
121.5,11.6
122.0,2.9
122.5,11.6
123.0,8.69
123.5,11.6
124.0,11.6
124.5,8.69
125.0,11.6
125.5,5.79
126.0,8.69
126.5,11.6
127.0,8.69
127.5,11.6
128.0,8.69
128.5,11.6
129.0,5.79
129.5,8.69
130.0,11.6
130.5,11.6
131.0,8.69
131.5,11.6
132.0,2.9
132.5,11.6
133.0,11.6
133.5,8.69
134.0,11.6
134.5,11.6
135.0,8.69
135.5,5.79
136.0,8.69
136.5,11.6
137.0,8.69
137.5,11.6
138.0,8.69
138.5,5.79
139.0,11.6
139.5,8.69
140.0,11.6
140.5,8.69
141.0,11.6
141.5,8.69
142.0,5.79
142.5,11.6
143.0,8.69
143.5,11.6
144.0,8.69
144.5,11.6
145.0,11.6
145.5,5.79
146.0,8.69
146.5,11.6
147.0,8.69
147.5,11.6
148.0,8.69
148.5,11.6
149.0,8.69
149.5,5.79
150.0,11.6
150.5,8.69
151.0,11.6
151.5,8.69
152.0,11.6
152.5,5.79
153.0,8.69
153.5,11.6
154.0,8.69
154.5,11.6
155.0,5.79
155.5,11.6
156.0,8.69
156.5,11.6
157.0,8.69
157.5,11.6
158.0,8.69
158.5,11.6
159.0,2.9
159.5,11.6
160.0,11.6
160.5,8.69
161.0,11.6
161.5,8.69
162.0,5.79
162.5,11.6
163.0,8.69
163.5,11.6
164.0,8.69
164.5,11.6
165.0,8.69
165.5,5.79
166.0,11.6
166.5,11.6
