------------------------------------------------------------
Client connecting to 10.0.2.22, TCP port 5001 with pid 194516
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.11 port 35046 connected with 10.0.2.22 port 5001 (ct=41.21 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-0.1800 sec  1.00 MBytes  46.6 Mbits/sec  8/0          0       67K/28239 us  206.29
[  3] 0.1800-0.3600 sec  1.16 MBytes  54.0 Mbits/sec  10/0          0      238K/87616 us  77.02
[  3] 0.3600-0.5400 sec  1.43 MBytes  66.6 Mbits/sec  12/0          0      455K/180754 us  46.06
[  3] 0.5400-0.7200 sec  0.00 Bytes  0.00 bits/sec  0/2        109      210K/232452 us  0.00
[  3] 0.7200-0.9000 sec   127 KBytes  5.79 Mbits/sec  2/0        127      156K/139617 us  5.19
[  3] 0.9000-1.0800 sec   382 KBytes  17.4 Mbits/sec  3/0         65      154K/110420 us  19.67
[  3] 1.0800-1.2600 sec   191 KBytes  8.69 Mbits/sec  2/1         47      127K/107844 us  10.07
[  3] 1.2600-1.4400 sec  63.6 KBytes  2.90 Mbits/sec  1/0         11      123K/102644 us  3.53
[  3] 1.4400-1.6200 sec   509 KBytes  23.2 Mbits/sec  4/0          0      123K/102644 us  28.21
[  3] 1.6200-1.8000 sec   255 KBytes  11.6 Mbits/sec  2/0          2       69K/57872 us  25.02
[  3] 1.8000-1.9800 sec   255 KBytes  11.6 Mbits/sec  2/0          0       74K/61706 us  23.47
[  3] 1.9800-2.1600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       77K/65460 us  16.59
[  3] 2.1600-2.3400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       82K/68972 us  20.99
[  3] 2.3400-2.5200 sec   191 KBytes  8.69 Mbits/sec  2/0          0       86K/72025 us  15.08
[  3] 2.5200-2.7000 sec   255 KBytes  11.6 Mbits/sec  2/0          0       89K/75337 us  19.22
[  3] 2.7000-2.8800 sec   127 KBytes  5.79 Mbits/sec  1/0          0       93K/78386 us  9.24
[  3] 2.8800-3.0600 sec   191 KBytes  8.69 Mbits/sec  2/0          0       94K/79709 us  13.62
[  3] 3.0600-3.2400 sec   255 KBytes  11.6 Mbits/sec  2/0          0       97K/82262 us  17.60
[  3] 3.2400-3.4200 sec   191 KBytes  8.69 Mbits/sec  2/0          0      101K/84680 us  12.82
[  3] 3.4200-3.6000 sec   255 KBytes  11.6 Mbits/sec  2/0          0      104K/87161 us  16.61
[  3] 3.6000-3.7800 sec   191 KBytes  8.69 Mbits/sec  2/0          0      107K/90612 us  11.99
[  3] 3.7800-3.9600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      110K/92886 us  15.59
[  3] 3.9600-4.1400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      113K/95686 us  11.35
[  3] 4.1400-4.3200 sec   127 KBytes  5.79 Mbits/sec  1/0          0      115K/97677 us  7.41
[  3] 4.3200-4.5000 sec   191 KBytes  8.69 Mbits/sec  2/0          0      117K/99270 us  10.94
[  3] 4.5000-4.6800 sec   255 KBytes  11.6 Mbits/sec  2/0          0      120K/101583 us  14.25
[  3] 4.6800-4.8600 sec   255 KBytes  11.6 Mbits/sec  2/0          0      123K/104028 us  13.92
[  3] 4.8600-5.0400 sec   191 KBytes  8.69 Mbits/sec  2/0          0      125K/105264 us  10.32
[  3] 5.0400-5.2200 sec   255 KBytes  11.6 Mbits/sec  2/0          0      128K/107077 us  13.52
[  3] 5.2200-5.4000 sec   127 KBytes  5.79 Mbits/sec  1/0          0      130K/110085 us  6.58
