time,value
0.5,46.6
1.0,54.0
1.5,66.6
2.0,69.5
2.5,26.1
3.0,0.0
3.5,0.0
4.0,8.69
4.5,11.6
5.0,5.79
5.5,34.8
6.0,11.6
6.5,17.4
7.0,5.79
7.5,11.6
8.0,8.69
8.5,11.6
9.0,8.69
9.5,11.6
10.0,11.6
10.5,2.9
11.0,11.6
11.5,8.69
12.0,11.6
12.5,8.69
13.0,11.6
13.5,11.6
14.0,2.9
14.5,11.6
15.0,8.69
15.5,11.6
16.0,8.69
16.5,11.6
17.0,8.69
17.5,11.6
18.0,5.79
18.5,8.69
19.0,11.6
19.5,11.6
20.0,8.69
20.5,11.6
21.0,5.79
21.5,8.69
22.0,11.6
22.5,8.69
23.0,11.6
23.5,11.6
24.0,2.9
24.5,11.6
25.0,8.69
25.5,11.6
26.0,11.6
26.5,8.69
27.0,5.79
27.5,11.6
28.0,8.69
28.5,11.6
29.0,8.69
29.5,11.6
30.0,5.79
30.5,8.69
31.0,11.6
31.5,8.69
32.0,11.6
32.5,11.6
33.0,8.69
33.5,5.79
34.0,8.69
34.5,11.6
35.0,8.69
35.5,11.6
36.0,11.6
36.5,8.69
37.0,5.79
37.5,8.69
38.0,11.6
38.5,11.6
39.0,8.69
39.5,11.6
40.0,8.69
40.5,5.79
41.0,8.69
41.5,11.6
42.0,8.69
42.5,11.6
43.0,11.6
43.5,8.69
44.0,5.79
44.5,11.6
45.0,8.69
45.5,11.6
46.0,8.69
46.5,11.6
47.0,5.79
47.5,8.69
48.0,11.6
48.5,8.69
49.0,11.6
49.5,8.69
50.0,11.6
50.5,5.79
51.0,8.69
51.5,11.6
52.0,8.69
52.5,11.6
53.0,8.69
53.5,11.6
54.0,5.79
54.5,8.69
55.0,11.6
55.5,8.69
56.0,11.6
56.5,8.69
57.0,11.6
57.5,8.69
58.0,5.79
58.5,11.6
59.0,8.69
59.5,11.6
60.0,8.69
60.5,11.6
61.0,8.69
61.5,5.79
62.0,11.6
62.5,8.69
63.0,11.6
63.5,8.69
64.0,11.6
64.5,8.69
65.0,5.79
65.5,11.6
66.0,8.69
66.5,11.6
67.0,8.69
67.5,11.6
68.0,8.69
68.5,5.79
69.0,11.6
69.5,5.79
70.0,14.5
70.5,14.5
71.0,8.69
71.5,5.79
72.0,8.69
72.5,11.6
73.0,11.6
73.5,8.69
74.0,11.6
74.5,5.79
75.0,8.69
75.5,11.6
76.0,8.69
76.5,11.6
77.0,8.69
77.5,5.79
78.0,11.6
78.5,8.69
79.0,11.6
79.5,11.6
80.0,8.69
80.5,5.79
81.0,11.6
81.5,8.69
82.0,11.6
82.5,8.69
83.0,11.6
83.5,5.79
84.0,8.69
84.5,11.6
85.0,11.6
85.5,8.69
86.0,11.6
86.5,5.79
87.0,8.69
87.5,11.6
88.0,8.69
88.5,11.6
89.0,8.69
89.5,11.6
90.0,5.79
90.5,8.69
91.0,11.6
91.5,8.69
92.0,11.6
92.5,8.69
93.0,11.6
93.5,5.79
94.0,8.69
94.5,11.6
95.0,8.69
95.5,11.6
96.0,11.6
96.5,2.9
97.0,11.6
97.5,11.6
98.0,8.69
98.5,11.6
99.0,8.69
99.5,11.6
100.0,5.79
100.5,8.69
101.0,11.6
101.5,8.69
102.0,11.6
102.5,11.6
103.0,2.9
103.5,11.6
104.0,11.6
104.5,8.69
105.0,11.6
105.5,8.69
106.0,11.6
106.5,2.9
107.0,11.6
107.5,8.69
108.0,11.6
108.5,8.69
109.0,11.6
109.5,8.69
110.0,11.6
110.5,5.79
111.0,8.69
111.5,11.6
112.0,8.69
112.5,11.6
113.0,8.69
113.5,11.6
114.0,8.69
114.5,5.79
115.0,11.6
115.5,8.69
116.0,11.6
116.5,8.69
117.0,11.6
117.5,8.69
118.0,11.6
118.5,2.9
119.0,11.6
119.5,8.69
120.0,11.6
120.5,8.69
121.0,11.6
121.5,11.6
122.0,8.69
122.5,5.79
123.0,8.69
123.5,11.6
124.0,8.69
124.5,8.69
125.0,0.0
125.5,26.1
126.0,8.69
126.5,5.79
127.0,11.6
127.5,8.69
128.0,11.6
128.5,8.69
129.0,11.6
129.5,8.69
130.0,11.6
130.5,2.9
131.0,11.6
131.5,11.6
132.0,8.69
132.5,11.6
133.0,8.69
133.5,5.79
134.0,11.6
134.5,8.69
135.0,11.6
135.5,11.6
136.0,8.69
136.5,5.79
137.0,8.69
137.5,11.6
138.0,11.6
138.5,8.69
139.0,11.6
139.5,8.69
140.0,5.79
140.5,11.6
141.0,8.69
141.5,11.6
142.0,8.69
142.5,11.6
143.0,5.79
143.5,8.69
144.0,11.6
144.5,8.69
145.0,11.6
145.5,11.6
146.0,8.69
146.5,5.79
147.0,8.69
147.5,11.6
148.0,11.6
148.5,8.69
149.0,11.6
149.5,2.9
150.0,11.6
150.5,11.6
151.0,8.69
151.5,11.6
152.0,8.69
152.5,5.79
153.0,11.6
153.5,8.69
154.0,11.6
154.5,8.69
155.0,11.6
155.5,8.69
156.0,11.6
156.5,5.79
157.0,8.69
157.5,11.6
158.0,8.69
158.5,11.6
159.0,8.69
159.5,5.79
160.0,11.6
160.5,11.6
161.0,8.69
161.5,11.6
162.0,8.69
162.5,5.79
163.0,8.69
163.5,11.6
164.0,11.6
164.5,8.69
165.0,11.6
165.5,8.69
166.0,5.79
166.5,11.6
